temperature_array,latitude,longitude,altitude
[0.5315840621963069],[0.0],[0.0],[0.0]
[0.4071914480077744],[0.0],[0.0],[0.0]
[0.29251700680272097],[0.0],[0.0],[0.0]
[0.4266277939747326],[0.0],[0.0],[0.0]
[0.3974732750242953],[0.0],[0.0],[0.0]
[0.48104956268221566],[0.0],[0.0],[0.0]
[0.3974732750242953],[0.0],[0.0],[0.0]
[0.4557823129251699],[0.0],[0.0],[0.0]
[0.41302235179786195],[0.0],[0.0],[0.0]
[0.37414965986394544],[0.0],[0.0],[0.0]
[0.38192419825072876],[0.0],[0.0],[0.0]
[0.4266277939747326],[0.0],[0.0],[0.0]
[0.38192419825072876],[0.0],[0.0],[0.0]
[0.3663751214771622],[0.0],[0.0],[0.0]
[0.3566569484936831],[0.0],[0.0],[0.0]
[0.36248785228377056],[0.0],[0.0],[0.0]
[0.33527696793002904],[0.0],[0.0],[0.0]
[0.2983479105928084],[0.0],[0.0],[0.0]
[0.2789115646258502],[0.0],[0.0],[0.0]
[0.3586005830903789],[0.0],[0.0],[0.0]
[0.48299319727891143],[0.0],[0.0],[0.0]
[0.4888241010689989],[0.0],[0.0],[0.0]
[0.4285714285714285],[0.0],[0.0],[0.0]
[0.35471331389698724],[0.0],[0.0],[0.0]
[0.45383867832847413],[0.0],[0.0],[0.0]
[0.4169096209912535],[0.0],[0.0],[0.0]
[0.4557823129251699],[0.0],[0.0],[0.0]
[0.44412050534499503],[0.0],[0.0],[0.0]
[0.47133138969873656],[0.0],[0.0],[0.0]
[0.3702623906705539],[0.0],[0.0],[0.0]
[0.2614188532555879],[0.0],[0.0],[0.0]
[0.38192419825072876],[0.0],[0.0],[0.0]
[0.45189504373177836],[0.0],[0.0],[0.0]
[0.45383867832847413],[0.0],[0.0],[0.0]
[0.30223517978620007],[0.0],[0.0],[0.0]
[0.3488824101068998],[0.0],[0.0],[0.0]
[0.29446064139941686],[0.0],[0.0],[0.0]
[0.29251700680272097],[0.0],[0.0],[0.0]
[0.36248785228377056],[0.0],[0.0],[0.0]
[0.368318756073858],[0.0],[0.0],[0.0]
[0.4188532555879494],[0.0],[0.0],[0.0]
[0.28668610301263353],[0.0],[0.0],[0.0]
[0.31389698736637506],[0.0],[0.0],[0.0]
[0.3177842565597667],[0.0],[0.0],[0.0]
[0.2983479105928084],[0.0],[0.0],[0.0]
[0.2789115646258502],[0.0],[0.0],[0.0]
[0.36248785228377056],[0.0],[0.0],[0.0]
[0.30417881438289596],[0.0],[0.0],[0.0]
[0.26530612244897944],[0.0],[0.0],[0.0]
[0.2691933916423711],[0.0],[0.0],[0.0]
[0.2497570456754129],[0.0],[0.0],[0.0]
[0.3080660835762875],[0.0],[0.0],[0.0]
[0.32167152575315827],[0.0],[0.0],[0.0]
[0.3080660835762875],[0.0],[0.0],[0.0]
[0.23809523809523803],[0.0],[0.0],[0.0]
[0.27308066083576277],[0.0],[0.0],[0.0]
[0.24392614188532546],[0.0],[0.0],[0.0]
[0.4266277939747326],[0.0],[0.0],[0.0]
[0.19727891156462574],[0.0],[0.0],[0.0]
[0.10398445092322633],[0.0],[0.0],[0.0]
[0.1817298347910592],[0.0],[0.0],[0.0]
[0.24781341107871713],[0.0],[0.0],[0.0]
[0.23420796890184636],[0.0],[0.0],[0.0]
[0.2614188532555879],[0.0],[0.0],[0.0]
[0.28279883381924187],[0.0],[0.0],[0.0]
[0.30417881438289596],[0.0],[0.0],[0.0]
[0.28279883381924187],[0.0],[0.0],[0.0]
[0.29446064139941686],[0.0],[0.0],[0.0]
[0.2322643343051506],[0.0],[0.0],[0.0]
[0.25753158406219623],[0.0],[0.0],[0.0]
[0.3197278911564625],[0.0],[0.0],[0.0]
[0.36443148688046634],[0.0],[0.0],[0.0]
[0.39358600583090364],[0.0],[0.0],[0.0]
[0.3294460641399416],[0.0],[0.0],[0.0]
[0.3896987366375121],[0.0],[0.0],[0.0]
[0.24392614188532546],[0.0],[0.0],[0.0]
[0.1720116618075801],[0.0],[0.0],[0.0]
[0.1273080660835762],[0.0],[0.0],[0.0]
[0.13508260447035947],[0.0],[0.0],[0.0]
[0.1758989310009717],[0.0],[0.0],[0.0]
[0.0787172011661807],[0.0],[0.0],[0.0]
[0.1467444120505344],[0.0],[0.0],[0.0]
[0.162293488824101],[0.0],[0.0],[0.0]
[0.12536443148688037],[0.0],[0.0],[0.0]
[0.12925170068027203],[0.0],[0.0],[0.0]
[0.08454810495626813],[0.0],[0.0],[0.0]
[0.024295432458697697],[0.0],[0.0],[0.0]
[0.13119533527696786],[0.0],[0.0],[0.0]
[0.14480077745383857],[0.0],[0.0],[0.0]
[0.23615160349854214],[0.0],[0.0],[0.0]
[0.37414965986394544],[0.0],[0.0],[0.0]
[0.29446064139941686],[0.0],[0.0],[0.0]
[0.30612244897959173],[0.0],[0.0],[0.0]
[0.30612244897959173],[0.0],[0.0],[0.0]
[0.16034985422740516],[0.0],[0.0],[0.0]
[0.04956268221574334],[0.0],[0.0],[0.0]
[-0.0301263362487853],[0.0],[0.0],[0.0]
[-0.04956268221574353],[0.0],[0.0],[0.0]
[0.0340136054421768],[0.0],[0.0],[0.0]
[0.03595724003887263],[0.0],[0.0],[0.0]
[-0.034013605442176964],[0.0],[0.0],[0.0]
[-0.0009718172983479989],[0.0],[0.0],[0.0]
[-0.043731778425656065],[0.0],[0.0],[0.0]
[-0.1389698736637513],[0.0],[0.0],[0.0]
[-0.11758989310009726],[0.0],[0.0],[0.0]
[-0.08843537414965993],[0.0],[0.0],[0.0]
[-0.20699708454810503],[0.0],[0.0],[0.0]
[-0.3061224489795919],[0.0],[0.0],[0.0]
