temperature_array,latitude,longitude,altitude
[0.6812439261418852],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6151603498542273],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.607385811467444],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6462585034013604],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.7201166180758016],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.7240038872691933],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.7084548104956268],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6773566569484936],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.7395529640427599],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6773566569484936],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6890184645286684],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.7395529640427599],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.7862001943634594],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.7784256559766763],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.7201166180758016],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6929057337220601],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6851311953352769],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.7123420796890183],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.607385811467444],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6695821185617102],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.7823129251700679],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6967930029154518],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.607385811467444],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.5957240038872691],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6423712342079688],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.747327502429543],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.71622934888241],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6540330417881437],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6462585034013604],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.7123420796890183],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6034985422740524],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.5140913508260446],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.5568513119533527],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.7123420796890183],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.8328474246841592],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.8950437317784256],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.9300291545189504],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.9183673469387753],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.7667638483965012],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.7045675413022351],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6540330417881437],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6773566569484936],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6851311953352769],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6851311953352769],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6345966958211855],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.45189504373177836],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.498542274052478],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.5179786200194363],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.5063168124392613],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.4752186588921282],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.498542274052478],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.48299319727891143],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.4557823129251699],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.36248785228377056],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.40136054421768697],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.38192419825072876],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.3313896987366374],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.3313896987366374],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.3508260447035956],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.3586005830903789],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.3780369290573371],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.5140913508260446],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.5918367346938774],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.5646258503401359],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.6268221574344022],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.5490767735665694],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.552964042759961],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.5063168124392613],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.25753158406219623],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.23420796890184636],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.28474246841593776],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.36248785228377056],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.3858114674441204],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.346938775510204],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.21477162293488816],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.22643343051506304],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.2303206997084547],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.28474246841593776],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.3080660835762875],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.2886297376093293],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.3780369290573371],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
[0.38192419825072876],[0.44655326062873674],[-15.101072734855052],[-0.041717014787962484]
