temperature_array,latitude,longitude,altitude
[0.43245869776482015],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.44412050534499503],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.47910592808551977],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.47910592808551977],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.5257531584062195],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.4752186588921282],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.5063168124392613],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.48299319727891143],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.4868804664723031],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.4480077745383867],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.44412050534499503],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.5140913508260446],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.5335276967930028],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.541302235179786],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.5568513119533527],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.510204081632653],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.5140913508260446],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.4169096209912535],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.2691933916423711],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.3391642371234207],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.36248785228377056],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.3702623906705539],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.38192419825072876],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.31584062196307083],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.38192419825072876],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.3896987366375121],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
[0.4674441205053449],[1.1992644198813407],[-18.61561446357387],[0.0028770355026181025]
