bloom_day_countdown,first_bloom_day_countdown
[0.9430604982206405],[0.8478260869565217]
[0.9359430604982206],[0.8405797101449275]
[0.9288256227758007],[0.8333333333333333]
[0.9217081850533806],[0.8260869565217392]
[0.9145907473309607],[0.818840579710145]
[0.9074733096085408],[0.8115942028985508]
[0.9003558718861209],[0.8043478260869565]
[0.893238434163701],[0.7971014492753623]
[0.8861209964412811],[0.7898550724637681]
[0.8790035587188612],[0.7826086956521738]
[0.8718861209964412],[0.7753623188405798]
[0.8647686832740213],[0.7681159420289856]
[0.8576512455516012],[0.7608695652173914]
[0.8505338078291813],[0.7536231884057971]
[0.8434163701067614],[0.7463768115942029]
[0.8362989323843415],[0.7391304347826086]
[0.8291814946619216],[0.7318840579710144]
[0.8220640569395017],[0.7246376811594204]
[0.8149466192170818],[0.7173913043478262]
[0.8078291814946619],[0.7101449275362319]
[0.800711743772242],[0.7028985507246377]
[0.7935943060498221],[0.6956521739130435]
[0.7864768683274019],[0.6884057971014492]
[0.779359430604982],[0.681159420289855]
[0.7722419928825621],[0.673913043478261]
[0.7651245551601422],[0.6666666666666667]
[0.7580071174377223],[0.6594202898550725]
[0.7508896797153024],[0.6521739130434783]
[0.7437722419928825],[0.644927536231884]
[0.7366548042704626],[0.6376811594202898]
[0.7295373665480427],[0.6304347826086956]
[0.7224199288256228],[0.6231884057971016]
[0.7153024911032027],[0.6159420289855073]
[0.7081850533807827],[0.6086956521739131]
[0.7010676156583628],[0.6014492753623188]
[0.6939501779359429],[0.5942028985507246]
[0.686832740213523],[0.5869565217391304]
[0.6797153024911031],[0.5797101449275361]
[0.6725978647686832],[0.5724637681159421]
[0.6654804270462633],[0.5652173913043479]
[0.6583629893238434],[0.5579710144927537]
[0.6512455516014235],[0.5507246376811594]
[0.6441281138790034],[0.5434782608695652]
[0.6370106761565835],[0.536231884057971]
[0.6298932384341636],[0.5289855072463769]
[0.6227758007117437],[0.5217391304347827]
[0.6156583629893237],[0.5144927536231885]
[0.6085409252669038],[0.5072463768115942]
[0.6014234875444839],[0.5]
[0.594306049822064],[0.49275362318840576]
[0.5871886120996441],[0.48550724637681153]
[0.5800711743772242],[0.4782608695652175]
[0.5729537366548041],[0.4710144927536233]
[0.5658362989323842],[0.46376811594202905]
[0.5587188612099643],[0.4565217391304348]
[0.5516014234875444],[0.4492753623188406]
[0.5444839857651245],[0.44202898550724634]
[0.5373665480427046],[0.4347826086956521]
[0.5302491103202847],[0.4275362318840581]
[0.5231316725978647],[0.42028985507246386]
[0.5160142348754448],[0.4130434782608696]
[0.5088967971530249],[0.4057971014492754]
[0.5017793594306048],[0.39855072463768115]
[0.4946619217081849],[0.3913043478260869]
[0.487544483985765],[0.3840579710144927]
[0.4804270462633451],[0.37681159420289867]
[0.4733096085409252],[0.36956521739130443]
[0.4661921708185053],[0.3623188405797102]
[0.4590747330960854],[0.35507246376811596]
[0.45195729537366547],[0.34782608695652173]
[0.44483985765124556],[0.3405797101449275]
[0.43772241992882566],[0.33333333333333326]
[0.43060498220640553],[0.32608695652173925]
[0.4234875444839856],[0.318840579710145]
[0.4163701067615657],[0.3115942028985508]
[0.4092526690391458],[0.30434782608695654]
[0.4021352313167259],[0.2971014492753623]
[0.395017793594306],[0.28985507246376807]
[0.3879003558718861],[0.28260869565217384]
[0.3807829181494662],[0.2753623188405798]
[0.3736654804270463],[0.2681159420289856]
[0.36654804270462615],[0.26086956521739135]
[0.35943060498220625],[0.2536231884057971]
[0.35231316725978634],[0.24637681159420288]
[0.34519572953736644],[0.23913043478260865]
[0.33807829181494653],[0.2318840579710144]
[0.3309608540925266],[0.2246376811594204]
[0.3238434163701067],[0.21739130434782616]
[0.3167259786476868],[0.21014492753623193]
[0.3096085409252669],[0.2028985507246377]
[0.302491103202847],[0.19565217391304346]
[0.2953736654804269],[0.18840579710144922]
[0.28825622775800697],[0.181159420289855]
[0.28113879003558706],[0.17391304347826098]
[0.27402135231316715],[0.16666666666666674]
[0.26690391459074725],[0.1594202898550725]
[0.25978647686832734],[0.15217391304347827]
[0.25266903914590744],[0.14492753623188404]
[0.24555160142348753],[0.1376811594202898]
[0.23843416370106763],[0.13043478260869557]
[0.23131672597864772],[0.12318840579710155]
[0.2241992882562276],[0.11594202898550732]
[0.21708185053380769],[0.10869565217391308]
[0.20996441281138778],[0.10144927536231885]
[0.20284697508896787],[0.09420289855072461]
[0.19572953736654797],[0.08695652173913038]
[0.18861209964412806],[0.07971014492753614]
[0.18149466192170816],[0.07246376811594213]
[0.17437722419928825],[0.0652173913043479]
[0.16725978647686834],[0.05797101449275366]
[0.16014234875444844],[0.050724637681159424]
[0.1530249110320283],[0.04347826086956519]
[0.1459074733096084],[0.03623188405797095]
[0.1387900355871885],[0.02898550724637672]
[0.1316725978647686],[0.021739130434782705]
[0.12455516014234869],[0.01449275362318847]
[0.11743772241992878],[0.007246376811594235]
[0.11032028469750887],[0.0]
[0.10320284697508897],[-0.007246376811594235]
[0.09608540925266906],[-0.01449275362318836]
[0.08896797153024916],[-0.021739130434782594]
[0.08185053380782903],[-0.02898550724637683]
[0.07473309608540912],[-0.03623188405797095]
[0.06761565836298922],[-0.04347826086956519]
[0.06049822064056931],[-0.050724637681159424]
[0.053380782918149405],[-0.05797101449275366]
[0.0462633451957295],[-0.06521739130434778]
[0.039145907473309594],[-0.07246376811594202]
[0.03202846975088958],[-0.07971014492753625]
[0.02491103202846967],[-0.08695652173913038]
[0.017793594306049765],[-0.09420289855072461]
[0.010676156583629859],[-0.10144927536231885]
[0.003558718861209953],[-0.10869565217391308]
[-0.003558718861210064],[-0.1159420289855072]
[-0.01067615658362997],[-0.12318840579710144]
[-0.017793594306049876],[-0.13043478260869568]
[-0.02491103202846978],[-0.1376811594202898]
[-0.03202846975088969],[-0.14492753623188404]
[-0.039145907473309705],[-0.15217391304347827]
[-0.04626334519572961],[-0.1594202898550725]
[-0.053380782918149516],[-0.16666666666666663]
[-0.06049822064056942],[-0.17391304347826086]
[-0.06761565836298933],[-0.1811594202898551]
[-0.07473309608540935],[-0.18840579710144922]
[-0.08185053380782925],[-0.19565217391304346]
[-0.08896797153024916],[-0.2028985507246377]
[-0.09608540925266906],[-0.21014492753623193]
[-0.10320284697508897],[-0.21739130434782605]
[-0.11032028469750899],[-0.2246376811594203]
[-0.11743772241992889],[-0.23188405797101452]
[-0.1245551601423488],[-0.23913043478260865]
[-0.1316725978647687],[-0.24637681159420288]
[-0.1387900355871886],[-0.2536231884057971]
[-0.14590747330960863],[-0.26086956521739124]
[-0.15302491103202853],[-0.2681159420289855]
[-0.16014234875444844],[-0.2753623188405797]
[-0.16725978647686834],[-0.28260869565217395]
[-0.17437722419928825],[-0.28985507246376807]
[-0.18149466192170827],[-0.2971014492753623]
[-0.18861209964412817],[-0.30434782608695654]
[-0.19572953736654808],[-0.31159420289855067]
[-0.20284697508896798],[-0.3188405797101449]
[-0.2099644128113879],[-0.32608695652173914]
[-0.2170818505338079],[-0.33333333333333337]
[-0.2241992882562278],[-0.3405797101449275]
[-0.23131672597864772],[-0.34782608695652173]
[-0.23843416370106763],[-0.35507246376811596]
[-0.24555160142348753],[-0.3623188405797101]
[-0.25266903914590755],[-0.3695652173913043]
[-0.25978647686832745],[-0.37681159420289856]
[-0.26690391459074736],[-0.3840579710144928]
[-0.27402135231316727],[-0.3913043478260869]
[-0.2811387900355873],[-0.39855072463768115]
[-0.2882562277580072],[-0.4057971014492754]
[-0.2953736654804271],[-0.4130434782608695]
[-0.302491103202847],[-0.42028985507246375]
[-0.3096085409252669],[-0.427536231884058]
[-0.3167259786476869],[-0.4347826086956522]
[-0.32384341637010683],[-0.44202898550724634]
[-0.33096085409252674],[-0.4492753623188406]
[-0.33807829181494664],[-0.4565217391304348]
[-0.34519572953736655],[-0.46376811594202894]
[-0.35231316725978656],[-0.47101449275362317]
[-0.35943060498220647],[-0.4782608695652174]
[-0.3665480427046264],[-0.48550724637681164]
[-0.3736654804270463],[-0.49275362318840576]
[-0.3807829181494662],[-0.5]
[-0.3879003558718862],[-0.5072463768115942]
[-0.3950177935943061],[-0.5144927536231885]
[-0.402135231316726],[-0.5217391304347826]
[-0.4092526690391459],[-0.5289855072463768]
[-0.41637010676156583],[-0.536231884057971]
[-0.42348754448398584],[-0.5434782608695652]
[-0.43060498220640575],[-0.5507246376811594]
[-0.43772241992882566],[-0.5579710144927537]
[-0.44483985765124556],[-0.5652173913043479]
[-0.4519572953736655],[-0.572463768115942]
[-0.45907473309608543],[-0.5797101449275363]
[-0.4661921708185054],[-0.5869565217391304]
[-0.4733096085409253],[-0.5942028985507246]
[-0.4804270462633452],[-0.6014492753623188]
[-0.48754448398576516],[-0.6086956521739131]
[-0.49466192170818507],[-0.6159420289855073]
[-0.501779359430605],[-0.6231884057971014]
[-0.5088967971530249],[-0.6304347826086956]
[-0.5160142348754448],[-0.6376811594202898]
[-0.5231316725978647],[-0.644927536231884]
