temperature_array,latitude,longitude,altitude
[0.7797833935018051],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.7581227436823106],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.7148014440433214],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.7220216606498197],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.7761732851985561],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.6967509025270758],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.6678700361010832],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.5667870036101084],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.5234657039711192],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.5956678700361012],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.6353790613718412],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.6859205776173286],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.7148014440433214],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.7111913357400723],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.7328519855595668],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.8339350180505415],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.8303249097472926],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.8664259927797836],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.8050541516245487],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.7870036101083032],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.7833935018050543],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.812274368231047],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.6931407942238268],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.5956678700361012],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.5848375451263539],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.628158844765343],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.6498194945848377],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.628158844765343],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.6462093862815885],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.700361010830325],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.7220216606498197],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.7220216606498197],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.7220216606498197],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.7184115523465705],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.7184115523465705],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.7292418772563178],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.7075812274368232],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.700361010830325],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.6137184115523467],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.5667870036101084],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.5270758122743683],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.6064981949458484],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.7148014440433214],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.6317689530685922],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.5848375451263539],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.6245487364620939],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.7148014440433214],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.6173285198555957],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.5992779783393503],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.5848375451263539],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.6425992779783394],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.628158844765343],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.49819494584837554],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.4873646209386283],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.4693140794223828],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.5342960288808665],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.5740072202166066],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
[0.47292418772563183],[0.20715885871839698],[0.07053076785610775],[-0.05034812129581679]
