temperature_array,latitude,longitude,altitude
[-0.15801749271137033],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.1669582118561711],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17006802721088443],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.16851311953352777],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17006802721088443],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17084548104956276],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17240038872691943],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.1735665694849369],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17278911564625857],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17512147716229357],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17628765792031106],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17240038872691943],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17201166180758026],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17317784256559776],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.1735665694849369],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17201166180758026],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17123420796890193],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17628765792031106],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.16967930029154527],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.16890184645286693],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.1638483965014578],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.1638483965014578],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17084548104956276],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17589893100097187],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17512147716229357],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17395529640427607],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17434402332361523],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.1669582118561711],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.16851311953352777],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.1704567541302236],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.1669582118561711],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.1669582118561711],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17240038872691943],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.19261418853255596],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.19183673469387763],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.19183673469387763],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.18911564625850347],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.1836734693877552],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.1867832847424685],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.19144800777453846],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.19067055393586013],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.19494655004859093],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.19572400388726927],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.18833819241982513],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17745383867832853],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.1692905733722061],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.16190476190476197],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.17862001943634603],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
[-0.1875607385811468],[0.35678589891927587],[0.2034312265444082],[-0.04804649289372231]
