temperature_array,latitude,longitude,altitude
[0.7400722021660651],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7111913357400723],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7581227436823106],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.772563176895307],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7906137184115524],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7906137184115524],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7942238267148015],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7220216606498197],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.6787003610108303],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.700361010830325],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.6714801444043322],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.6389891696750903],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.700361010830325],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7509025270758123],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7653429602888088],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7292418772563178],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7509025270758123],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7509025270758123],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7220216606498197],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7581227436823106],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.772563176895307],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7184115523465705],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7075812274368232],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7148014440433214],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7400722021660651],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7436823104693141],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7364620938628159],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7292418772563178],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7472924187725632],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7075812274368232],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.6714801444043322],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7400722021660651],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7617328519855596],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7689530685920578],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.6750902527075814],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.664259927797834],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.6859205776173286],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.6823104693140795],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.6714801444043322],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.6931407942238268],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7545126353790614],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7111913357400723],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7328519855595668],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7472924187725632],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7256317689530687],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7509025270758123],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7220216606498197],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.6931407942238268],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7075812274368232],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7148014440433214],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.6353790613718412],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.6570397111913359],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7292418772563178],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7292418772563178],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.7111913357400723],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.6859205776173286],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.664259927797834],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.6173285198555957],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.5631768953068592],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.6714801444043322],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.6714801444043322],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.5559566787003611],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.548736462093863],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.5667870036101084],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.47292418772563183],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.5090252707581228],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.552346570397112],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.552346570397112],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.5848375451263539],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.5740072202166066],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.5884476534296029],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.5667870036101084],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.6317689530685922],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.6606498194945849],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.5595667870036103],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.5812274368231047],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
[0.5956678700361012],[-0.22776396445188477],[0.18055638291540896],[0.3688647217906669]
