temperature_array,latitude,longitude,altitude
[0.6931407942238268],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.664259927797834],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.6137184115523467],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.6317689530685922],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5631768953068592],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.548736462093863],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5595667870036103],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5920577617328521],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5848375451263539],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5740072202166066],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5198555956678701],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.49819494584837554],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5451263537906138],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.6064981949458484],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.6714801444043322],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.6353790613718412],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.548736462093863],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5198555956678701],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5306859205776174],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5667870036101084],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5812274368231047],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5270758122743683],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5198555956678701],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5054151624548737],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.548736462093863],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.548736462093863],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.4945848375451265],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5126353790613719],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5379061371841156],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5595667870036103],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.476534296028881],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5631768953068592],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5234657039711192],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5812274368231047],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5415162454873648],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5018050541516247],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.5451263537906138],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.45848375451263546],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.39350180505415167],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.4296028880866427],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.476534296028881],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.516245487364621],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.4187725631768954],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.3357400722021662],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.22743682310469326],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.3285198555956679],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.43321299638989186],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.3971119133574008],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.3285198555956679],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.3032490974729243],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.3610108303249099],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.39350180505415167],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.3285198555956679],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.24909747292418782],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.2671480144404333],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
[0.3465703971119134],[0.4285468107629015],[0.305117054863945],[0.011795845560734224]
