temperature_array,latitude,longitude,altitude
[-0.1681243926141886],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.1657920310981536],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.16151603498542283],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.15296404275996123],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.16462585034013613],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.16501457725947527],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.1669582118561711],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.17084548104956276],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.1766763848396502],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.17201166180758026],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.16345966958211863],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.15879494655004867],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.15762876579203117],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.15801749271137033],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.1669582118561711],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.16112730806608366],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.15918367346938783],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.15918367346938783],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.16268221574344033],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.16190476190476197],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.16151603498542283],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.16967930029154527],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.17006802721088443],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.16851311953352777],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.1669582118561711],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.1681243926141886],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.16734693877551027],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.17395529640427607],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.16773566569484943],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
[-0.16851311953352777],[-0.08310972157258735],[0.03276344790616884],[0.06597042407503309]
