temperature_array,latitude,longitude,altitude
[-0.159572400388727],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.16112730806608366],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.16229348882410116],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.16345966958211863],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.16034985422740533],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.15918367346938783],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.16540330417881446],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.16734693877551027],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.1638483965014578],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.16345966958211863],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.16190476190476197],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.16034985422740533],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.16034985422740533],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.15996112730806616],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.159572400388727],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.15918367346938783],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.15918367346938783],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.159572400388727],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.15879494655004867],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.15762876579203117],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.1584062196307095],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
[-0.16307094266277947],[-1.0063267767903308],[-0.9356446456583988],[-0.04977271419529317]
