temperature_array,latitude,longitude,altitude
[-0.1692905733722061],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.16268221574344033],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.15685131195335283],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.16034985422740533],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.1681243926141886],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.16501457725947527],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.157240038872692],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.15490767735665703],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.16345966958211863],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.1716229348882411],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.16618075801749277],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.16423712342079697],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.15996112730806616],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.16307094266277947],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.15762876579203117],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.16656948493683194],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.18833819241982513],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.17978620019436353],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.17628765792031106],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.1716229348882411],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.17745383867832853],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.18950437317784263],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.20155490767735673],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.19689018464528674],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.19067055393586013],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.1922254616132168],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.18172983479105936],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.1813411078717202],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.1766763848396502],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.1778425655976677],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.1747327502429544],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.17240038872691943],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.16656948493683194],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.16423712342079697],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.17434402332361523],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.1735665694849369],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.1735665694849369],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.1755102040816327],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.17434402332361523],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.17978620019436353],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.18406219630709436],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.18522837706511183],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.17123420796890193],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.17317784256559776],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.17589893100097187],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.1844509232264335],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.1836734693877552],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
[-0.1790087463556852],[0.04061938406242786],[0.1520223982844183],[0.020139248518326717]
