temperature_array,latitude,longitude,altitude
[0.5018050541516247],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6101083032490976],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6173285198555957],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6606498194945849],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.5920577617328521],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6173285198555957],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6389891696750903],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.5667870036101084],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.5559566787003611],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6137184115523467],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6245487364620939],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.628158844765343],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6353790613718412],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6353790613718412],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.548736462093863],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.5198555956678701],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.548736462093863],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.5631768953068592],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6137184115523467],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6389891696750903],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6462093862815885],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6750902527075814],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.7184115523465705],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.7184115523465705],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.628158844765343],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6570397111913359],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6823104693140795],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6931407942238268],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6750902527075814],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6064981949458484],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.628158844765343],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6570397111913359],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.6101083032490976],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.5090252707581228],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.40794223826714804],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.41516245487364634],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.4187725631768954],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.4873646209386283],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.49819494584837554],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.476534296028881],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.4296028880866427],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.3790613718411554],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.3068592057761733],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.3971119133574008],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.3790613718411554],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.4223826714801445],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.40072202166064985],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.41516245487364634],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.4296028880866427],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.3465703971119134],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.3718411552346571],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.48014440433213],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.3140794223826716],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.2707581227436824],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.3537906137184117],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.42599277978339356],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.5667870036101084],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.5559566787003611],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.3537906137184117],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.32490974729241884],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.29241877256317694],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.3393501805054152],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.2888086642599279],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.3140794223826716],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.28519855595667876],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.3285198555956679],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.24548736462093873],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.2310469314079423],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.2310469314079423],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.25631768953068595],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.24909747292418782],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.20938628158844774],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.3068592057761733],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.31046931407942246],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.2960288808664261],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.3610108303249099],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.1985559566787004],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.16245487364620947],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.2382671480144405],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.1552346570397113],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.2743682310469315],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.21299638989169684],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.13718411552346582],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.12996389891696758],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.1263537906137185],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[-0.021660649819494504],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[-0.036101083032490905],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.036101083032491044],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.11191335740072206],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.1155234657039712],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.14079422382671491],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.2779783393501806],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.29963898916967524],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.05054151624548747],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[-0.010830324909747224],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.18772563176895318],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.20938628158844774],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.1985559566787004],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.16606498194945857],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.21660649819494593],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.2382671480144405],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.24909747292418782],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.21660649819494593],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.13718411552346582],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.11191335740072206],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.0902527075812275],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.10830324909747302],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.2382671480144405],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.1191335740072203],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.0902527075812275],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.1516245487364622],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.06859205776173294],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.014440433212996484],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.14079422382671491],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.05054151624548747],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[-0.02888086642599269],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[-0.1660649819494584],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[-0.1696750902527075],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[-0.1732851985559566],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[-0.21660649819494576],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.036101083032491044],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.22743682310469326],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.03249097472924195],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.06498194945848385],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.06498194945848385],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[-0.09386281588447645],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[0.16245487364620947],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
[-0.20938628158844758],[0.04918638142832528],[0.051269831814358846],[1.6888198400368262]
