temperature_array,latitude,longitude,altitude
[-0.16967930029154527],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16967930029154527],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16656948493683194],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16423712342079697],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16307094266277947],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16229348882410116],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16268221574344033],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16462585034013613],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16967930029154527],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.1669582118561711],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.1692905733722061],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16462585034013613],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16423712342079697],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16423712342079697],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16540330417881446],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16345966958211863],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16268221574344033],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16112730806608366],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.1607385811467445],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16151603498542283],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.1638483965014578],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16462585034013613],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16112730806608366],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
[-0.16151603498542283],[-0.8740799094064673],[-0.4306705585671487],[-0.022153173370159387]
