temperature_array,latitude,longitude,altitude
[0.6606498194945849],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7075812274368232],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7256317689530687],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7220216606498197],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7292418772563178],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7617328519855596],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7400722021660651],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7364620938628159],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7111913357400723],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.6967509025270758],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7220216606498197],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.772563176895307],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7292418772563178],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7256317689530687],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7472924187725632],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7364620938628159],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7436823104693141],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7400722021660651],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7256317689530687],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7436823104693141],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7617328519855596],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7761732851985561],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7653429602888088],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.6678700361010832],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.6534296028880867],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.6931407942238268],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7400722021660651],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7111913357400723],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.6714801444043322],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.6570397111913359],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7148014440433214],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7761732851985561],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7761732851985561],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7797833935018051],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7833935018050543],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.7364620938628159],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.6353790613718412],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.6425992779783394],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
[0.6389891696750903],[-0.13894291130203792],[0.16212942554758653],[0.042292421888486115]
