temperature_array,latitude,longitude,altitude
[0.6570397111913359],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.6498194945848377],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.7364620938628159],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.7292418772563178],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.7328519855595668],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.6173285198555957],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.5956678700361012],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.5848375451263539],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.7545126353790614],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.7581227436823106],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.5054151624548737],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.6498194945848377],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.5198555956678701],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.45126353790613727],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.3898916967509025],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.34296028880866436],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.3537906137184117],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.4873646209386283],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.5631768953068592],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.48014440433213],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.516245487364621],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.6137184115523467],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.6606498194945849],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.516245487364621],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.40794223826714804],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.5234657039711192],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.5306859205776174],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.516245487364621],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.5559566787003611],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.5740072202166066],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.548736462093863],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.5956678700361012],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.7148014440433214],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.548736462093863],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.48375451263537916],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.4945848375451265],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.5342960288808665],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.4945848375451265],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.5379061371841156],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.5667870036101084],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.5595667870036103],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.44043321299639004],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.45126353790613727],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
[0.41516245487364634],[0.3505329755545098],[0.33686781438019175],[0.05601588123597445]
