temperature_array,latitude,longitude,altitude
[0.8772563176895306],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8628158844765345],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8700361010830325],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8592057761732853],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8231046931407943],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8664259927797836],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8555956678700362],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8664259927797836],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8592057761732853],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8700361010830325],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8592057761732853],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8483754512635381],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8339350180505415],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8411552346570398],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8339350180505415],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8303249097472926],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8411552346570398],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8158844765342962],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.7545126353790614],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.812274368231047],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8303249097472926],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8194945848375453],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8231046931407943],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8339350180505415],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8447653429602889],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8267148014440434],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
[0.8267148014440434],[-0.9657566283449524],[-0.8560195389289739],[0.048621899994245925]
