temperature_array,latitude,longitude,altitude
[-0.1692905733722061],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.17006802721088443],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.1681243926141886],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.1669582118561711],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.16540330417881446],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.16501457725947527],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.1766763848396502],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.1778425655976677],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.1790087463556852],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.16851311953352777],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.17395529640427607],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.1813411078717202],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.18483965014577267],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.18833819241982513],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.18483965014577267],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.17589893100097187],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.1801749271137027],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.18211856171039853],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.18522837706511183],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.19028182701652097],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.1867832847424685],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.19611273080660843],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.18911564625850347],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.1965014577259476],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.20116618075801757],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2050534499514092],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2031098153547134],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.19378036929057346],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.20155490767735673],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.20038872691933923],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.20155490767735673],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.1910592808551993],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.18794946550048597],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.1875607385811468],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.1922254616132168],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.1984450923226434],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.20466472303207003],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.19922254616132173],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2007774538386784],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.20155490767735673],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.1910592808551993],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.19494655004859093],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.19494655004859093],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2007774538386784],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2081632653061225],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2104956268221575],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2073858114674442],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.20388726919339173],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2104956268221575],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.1976676384839651],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.19922254616132173],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2062196307094267],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2031098153547134],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2042759961127309],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.20699708454810503],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.21205053449951416],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2062196307094267],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.20155490767735673],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.21127308066083583],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.21321671525753166],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.21943634596695827],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.21360544217687083],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.21127308066083583],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.21321671525753166],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.22604470359572407],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2299319727891157],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2279883381924199],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.22876579203109823],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.21943634596695827],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2171039844509233],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.21399416909621],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.22176870748299327],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.22332361516034993],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.22954324586977656],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.23965014577259483],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.23381924198250736],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.23265306122448987],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2299319727891157],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.21943634596695827],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2213799805636541],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.22565597667638493],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.237706511175899],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2365403304178815],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.24237123420796897],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.22759961127308073],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2443148688046648],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2408163265306123],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.23615160349854233],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.22448979591836743],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.24470359572400396],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2462585034013606],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.24781341107871727],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.24237123420796897],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2528668610301264],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.24120505344995147],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.24120505344995147],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2345966958211857],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2322643343051507],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.2365403304178815],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.23965014577259483],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
[-0.22604470359572407],[0.3550872701312077],[0.2797005619428038],[0.3803440934461131]
