temperature_array,latitude,longitude,altitude
[0.8086642599277979],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7833935018050543],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7509025270758123],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7797833935018051],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.8086642599277979],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7509025270758123],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7220216606498197],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.6967509025270758],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7509025270758123],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.772563176895307],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7400722021660651],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7653429602888088],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7906137184115524],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7942238267148015],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.8014440433212998],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7978339350180507],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.8375451263537906],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.8664259927797836],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7942238267148015],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7256317689530687],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7111913357400723],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.8303249097472926],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7472924187725632],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7509025270758123],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7509025270758123],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7220216606498197],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.7039711191335741],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.6787003610108303],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.5992779783393503],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.6750902527075814],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.6714801444043322],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.6425992779783394],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.6389891696750903],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.6750902527075814],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.700361010830325],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.6137184115523467],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.5920577617328521],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.5956678700361012],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.5776173285198557],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.5342960288808665],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.5379061371841156],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.5018050541516247],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.548736462093863],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.5884476534296029],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.5631768953068592],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.6101083032490976],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.5740072202166066],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.548736462093863],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.6498194945848377],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.5812274368231047],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.5559566787003611],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.664259927797834],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.6823104693140795],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.6209386281588448],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.6064981949458484],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.6714801444043322],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.6137184115523467],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.476534296028881],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.45126353790613727],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.552346570397112],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.6498194945848377],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.5848375451263539],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.5415162454873648],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.5667870036101084],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.5379061371841156],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.40794223826714804],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.35018050541516255],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.3393501805054152],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.3790613718411554],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
[0.37545126353790625],[-0.08842716821348759],[-0.10190425130553744],[0.23419068991311356]
