temperature_array,latitude,longitude,altitude
[-0.18600583090379016],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1747327502429544],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1735665694849369],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.17084548104956276],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.16890184645286693],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.17084548104956276],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.17240038872691943],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.17434402332361523],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.18289601554907686],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.17745383867832853],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1755102040816327],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.17201166180758026],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1704567541302236],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1692905733722061],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1704567541302236],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.17395529640427607],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.17201166180758026],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1790087463556852],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1778425655976677],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1735665694849369],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.16967930029154527],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.17084548104956276],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1681243926141886],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1692905733722061],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.16540330417881446],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1692905733722061],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1735665694849369],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.16967930029154527],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.17706511175898937],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.17589893100097187],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.17278911564625857],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1692905733722061],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1704567541302236],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.17978620019436353],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1887269193391643],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.19183673469387763],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1953352769679301],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1898931000971818],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.18289601554907686],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.18794946550048597],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.19378036929057346],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.19144800777453846],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1965014577259476],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1933916423712343],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.18950437317784263],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.18172983479105936],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.18794946550048597],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.19183673469387763],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.19028182701652097],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.2007774538386784],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.19611273080660843],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1910592808551993],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.20699708454810503],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.2081632653061225],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.20038872691933923],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
[-0.1825072886297377],[-0.08914108466064943],[-0.23790234506857513],[-0.05086598768628805]
