temperature_array,latitude,longitude,altitude
[0.851985559566787],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.8592057761732853],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.8953068592057761],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.8844765342960289],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.8664259927797836],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7942238267148015],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.8050541516245487],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7689530685920578],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7581227436823106],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7364620938628159],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7472924187725632],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.8267148014440434],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7653429602888088],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7689530685920578],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7978339350180507],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.8592057761732853],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.8447653429602889],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7942238267148015],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7039711191335741],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7328519855595668],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7148014440433214],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7581227436823106],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.772563176895307],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.6678700361010832],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.6967509025270758],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7039711191335741],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7436823104693141],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7256317689530687],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7978339350180507],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.8194945848375453],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7978339350180507],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7978339350180507],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7870036101083032],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7509025270758123],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7039711191335741],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7653429602888088],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7833935018050543],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7653429602888088],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7364620938628159],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.7906137184115524],[-0.0894611161714432],[-0.12396497289565132],[0.0]
[0.812274368231047],[-0.0894611161714432],[-0.12396497289565132],[0.0]
