temperature_array,latitude,longitude,altitude
[-0.17745383867832853],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17589893100097187],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17395529640427607],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1755102040816327],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17434402332361523],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17395529640427607],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17084548104956276],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17240038872691943],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17434402332361523],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17317784256559776],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17278911564625857],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17123420796890193],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17434402332361523],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1755102040816327],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17317784256559776],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17395529640427607],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1755102040816327],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17434402332361523],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17395529640427607],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17706511175898937],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1778425655976677],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17589893100097187],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17589893100097187],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.18833819241982513],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.18833819241982513],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.18056365403304186],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17823129251700687],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1778425655976677],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.18483965014577267],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.18522837706511183],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1790087463556852],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17628765792031106],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1766763848396502],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1778425655976677],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.17862001943634603],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1863945578231293],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1922254616132168],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.19611273080660843],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1965014577259476],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.19261418853255596],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1813411078717202],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1863945578231293],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.19144800777453846],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.19300291545189513],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.18833819241982513],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1922254616132168],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.19883381924198257],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1945578231292518],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.19922254616132173],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.2042759961127309],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.19494655004859093],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.19689018464528674],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1972789115646259],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.20000000000000007],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.20155490767735673],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.19611273080660843],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1965014577259476],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.20894071914480083],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.2042759961127309],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1976676384839651],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.19067055393586013],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.19494655004859093],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1941690962099126],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.18950437317784263],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.20388726919339173],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.20777453838678334],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.21321671525753166],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.21943634596695827],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.21865889212827996],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.2190476190476191],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.21554907677356663],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.21438289601554916],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.20855199222546167],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.20000000000000007],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.1996112730806609],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.21360544217687083],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.21399416909621],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.21127308066083583],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.2019436345966959],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.21321671525753166],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.2182701652089408],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.21360544217687083],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.2171039844509233],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.21127308066083583],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.2050534499514092],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.20583090379008753],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.20466472303207003],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.20349854227405256],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.20932944606414],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.22332361516034993],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.22759961127308073],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.22954324586977656],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.2190476190476191],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.22060252672497577],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.2279883381924199],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.22099125364431493],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.2104956268221575],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.21243926141885333],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.2050534499514092],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.21088435374149667],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.21399416909621],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.22099125364431493],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.21127308066083583],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.21943634596695827],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.23381924198250736],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.22954324586977656],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.2202137998056366],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.22565597667638493],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.21516034985422747],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.22410106899902826],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.23537414965986403],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.24586977648202146],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.24003887269193397],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.2357628765792032],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.22837706511175906],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.21321671525753166],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
[-0.2334305150631682],[-0.08350360650895541],[0.15081114354367886],[0.14672881063352322]
