temperature_array,latitude,longitude,altitude
[0.5956678700361012],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.5306859205776174],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.4548736462093863],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.40072202166064985],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.4187725631768954],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.4693140794223828],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.4620938628158845],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.44404332129963897],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.4945848375451265],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.44404332129963897],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.4296028880866427],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.4187725631768954],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.4115523465703972],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.3646209386281589],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.38267148014440444],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.4223826714801445],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.4296028880866427],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.4693140794223828],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.5054151624548737],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.516245487364621],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.49819494584837554],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.45848375451263546],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
[0.4368231046931409],[0.7315427980601137],[0.3130001389964537],[0.0017262213015708655]
