temperature_array,latitude,longitude,altitude
[0.7617328519855596],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7761732851985561],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7472924187725632],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7689530685920578],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.8086642599277979],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.8086642599277979],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7978339350180507],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.772563176895307],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7653429602888088],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.6967509025270758],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7292418772563178],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7617328519855596],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7906137184115524],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.772563176895307],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7653429602888088],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7400722021660651],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7148014440433214],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7761732851985561],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7472924187725632],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7256317689530687],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7400722021660651],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7436823104693141],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7292418772563178],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7436823104693141],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.6895306859205776],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7148014440433214],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7328519855595668],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.700361010830325],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7184115523465705],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7220216606498197],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7509025270758123],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.772563176895307],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7833935018050543],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.6534296028880867],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.6534296028880867],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7400722021660651],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.772563176895307],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7761732851985561],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.7148014440433214],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
[0.6317689530685922],[-0.2149380862115677],[-0.4966740136216349],[-0.050434432360895336]
