temperature_array,latitude,longitude,altitude
[-0.16734693877551027],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.16462585034013613],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.16423712342079697],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.16462585034013613],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.16423712342079697],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.16618075801749277],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.16851311953352777],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.16773566569484943],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.16851311953352777],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1669582118561711],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.17317784256559776],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.17123420796890193],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.17978620019436353],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1825072886297377],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1778425655976677],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1766763848396502],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1735665694849369],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.17278911564625857],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.17278911564625857],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.16851311953352777],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.17123420796890193],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.16967930029154527],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.15996112730806616],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1735665694849369],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.18406219630709436],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1863945578231293],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.18056365403304186],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.16967930029154527],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.16890184645286693],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.17706511175898937],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.18483965014577267],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.183284742468416],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.183284742468416],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.17706511175898937],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.17201166180758026],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.19494655004859093],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.19067055393586013],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1910592808551993],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1887269193391643],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1945578231292518],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.19572400388726927],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1933916423712343],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.19028182701652097],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.18483965014577267],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.18211856171039853],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1976676384839651],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.19611273080660843],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1836734693877552],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1801749271137027],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.18600583090379016],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1965014577259476],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1965014577259476],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1875607385811468],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1836734693877552],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.18289601554907686],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.19067055393586013],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.19378036929057346],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1836734693877552],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.20038872691933923],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.1976676384839651],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.19144800777453846],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.18794946550048597],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.2062196307094267],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.20388726919339173],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.20155490767735673],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.20349854227405256],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.2007774538386784],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.20894071914480083],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.2042759961127309],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.19922254616132173],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.19611273080660843],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.20000000000000007],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.19922254616132173],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.19805636540330424],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.19883381924198257],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.2050534499514092],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.2062196307094267],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.21127308066083583],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.21243926141885333],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.2019436345966959],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.2073858114674442],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.20660835762876584],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.21477162293488833],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.21749271137026246],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.22215743440233243],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.22448979591836743],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.21865889212827996],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.21865889212827996],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
[-0.23070942662779403],[0.045444474532870226],[-0.2801771211850254],[0.010069624259163358]
