temperature_array,latitude,longitude,altitude
[-0.1755102040816327],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.16618075801749277],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1657920310981536],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.16773566569484943],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.16423712342079697],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.16501457725947527],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.16501457725947527],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.16618075801749277],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.16423712342079697],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.16345966958211863],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.16190476190476197],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.16034985422740533],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.16190476190476197],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.16618075801749277],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.17084548104956276],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1716229348882411],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.17006802721088443],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.16890184645286693],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.17006802721088443],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.16967930029154527],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1681243926141886],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.17201166180758026],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.16734693877551027],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.17006802721088443],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1778425655976677],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.17862001943634603],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.17628765792031106],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1755102040816327],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.17706511175898937],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1755102040816327],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.17006802721088443],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.17317784256559776],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.17240038872691943],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.17006802721088443],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1681243926141886],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.16851311953352777],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.17084548104956276],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1801749271137027],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.18406219630709436],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.18289601554907686],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.18172983479105936],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.18211856171039853],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.18211856171039853],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1813411078717202],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.17862001943634603],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.16151603498542283],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1716229348882411],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1825072886297377],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.18522837706511183],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.18211856171039853],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.18172983479105936],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1825072886297377],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.17823129251700687],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.18056365403304186],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.18172983479105936],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1813411078717202],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1825072886297377],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.19378036929057346],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1887269193391643],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1922254616132168],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1976676384839651],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1910592808551993],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.20038872691933923],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.20466472303207003],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.2050534499514092],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.20388726919339173],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.2054421768707484],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.20233236151603506],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.2031098153547134],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.20855199222546167],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.2202137998056366],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.21982507288629743],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.21788143828960163],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.21554907677356663],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.20583090379008753],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1965014577259476],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.19611273080660843],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.2054421768707484],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.2081632653061225],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.20388726919339173],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.19922254616132173],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1996112730806609],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.1976676384839651],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.20466472303207003],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.21321671525753166],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.20932944606414],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.2081632653061225],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.21477162293488833],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.2190476190476191],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.21477162293488833],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.21399416909621],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.21360544217687083],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.20932944606414],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.21321671525753166],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.22176870748299327],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.22721088435374157],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.2299319727891157],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.22604470359572407],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.2279883381924199],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.22410106899902826],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
[-0.2171039844509233],[-0.1544767484798544],[-0.45229443418518817],[-0.056677599401576614]
