temperature_array,latitude,longitude,altitude
[-0.17123420796890193],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17395529640427607],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17823129251700687],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17745383867832853],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.1735665694849369],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.1747327502429544],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17628765792031106],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17628765792031106],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.1766763848396502],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17240038872691943],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17240038872691943],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17240038872691943],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17084548104956276],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17084548104956276],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.1681243926141886],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.1716229348882411],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.1747327502429544],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.1766763848396502],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17628765792031106],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.1747327502429544],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17395529640427607],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17123420796890193],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.1692905733722061],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17084548104956276],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
