temperature_array,latitude,longitude,altitude
[-0.1704567541302236],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.1692905733722061],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.16890184645286693],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.1681243926141886],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.16773566569484943],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.16656948493683194],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.1681243926141886],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.17512147716229357],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.1766763848396502],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.1704567541302236],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.1766763848396502],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.17240038872691943],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.17084548104956276],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.17123420796890193],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.1747327502429544],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.17240038872691943],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.17978620019436353],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.1716229348882411],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.16734693877551027],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.16890184645286693],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.17123420796890193],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.17123420796890193],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.16851311953352777],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.1704567541302236],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.1813411078717202],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.18717201166180764],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.1875607385811468],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.17628765792031106],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.17434402332361523],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.17240038872691943],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.17862001943634603],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.17628765792031106],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.17240038872691943],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.17512147716229357],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.1790087463556852],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.17862001943634603],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.1813411078717202],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.1747327502429544],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.1887269193391643],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.20116618075801757],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.1941690962099126],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.1941690962099126],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.18794946550048597],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.1844509232264335],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.18172983479105936],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.18717201166180764],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.19378036929057346],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
[-0.19300291545189513],[-0.11993796312252848],[-0.16786799308987438],[0.24828816387594224]
