temperature_array,latitude,longitude,altitude
[0.6064981949458484],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.5848375451263539],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.6353790613718412],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.7075812274368232],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.7292418772563178],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.7761732851985561],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.7761732851985561],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.7292418772563178],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.6714801444043322],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.6137184115523467],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.6317689530685922],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.6895306859205776],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.6353790613718412],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.7472924187725632],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.7797833935018051],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.7942238267148015],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.7545126353790614],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.851985559566787],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.8628158844765345],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.7400722021660651],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.6859205776173286],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.6787003610108303],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.7509025270758123],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.7256317689530687],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.7617328519855596],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
[0.7148014440433214],[0.12540311661455902],[0.07100732709840252],[-0.029058058576442832]
