temperature_array,latitude,longitude,altitude
[-0.1638483965014578],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.16268221574344033],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.15879494655004867],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.15996112730806616],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.16268221574344033],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.16967930029154527],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1716229348882411],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1704567541302236],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1704567541302236],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1844509232264335],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1813411078717202],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.17201166180758026],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.17395529640427607],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.17823129251700687],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1704567541302236],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.16540330417881446],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.16656948493683194],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.16967930029154527],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.18211856171039853],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.17939747327502437],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.17939747327502437],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1755102040816327],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.17745383867832853],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.18600583090379016],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.183284742468416],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.18211856171039853],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.17706511175898937],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.17512147716229357],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.17278911564625857],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.17201166180758026],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.17123420796890193],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1704567541302236],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.17006802721088443],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.17589893100097187],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.17706511175898937],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1801749271137027],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.17706511175898937],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1790087463556852],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1825072886297377],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1766763848396502],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1669582118561711],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.16656948493683194],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.17123420796890193],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1735665694849369],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.17201166180758026],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.183284742468416],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1976676384839651],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1941690962099126],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.19028182701652097],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.19183673469387763],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.18911564625850347],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1922254616132168],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.20116618075801757],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.19144800777453846],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1875607385811468],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.19261418853255596],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.18833819241982513],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1910592808551993],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.19572400388726927],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1984450923226434],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.19067055393586013],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.19378036929057346],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.19300291545189513],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.20038872691933923],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1996112730806609],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.20116618075801757],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1996112730806609],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.1976676384839651],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
[-0.2007774538386784],[-0.12173506314467764],[-0.2286690097496269],[-0.041141607687438866]
