temperature_array,latitude,longitude,altitude
[0.8267148014440434],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.772563176895307],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7761732851985561],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7833935018050543],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7653429602888088],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7400722021660651],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.772563176895307],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7436823104693141],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7870036101083032],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7617328519855596],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7436823104693141],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7797833935018051],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7906137184115524],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.8086642599277979],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7148014440433214],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.6859205776173286],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7292418772563178],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7292418772563178],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7797833935018051],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7978339350180507],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7689530685920578],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7870036101083032],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.8375451263537906],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7978339350180507],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.8231046931407943],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7906137184115524],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7870036101083032],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.8086642599277979],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.664259927797834],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.6859205776173286],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7292418772563178],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.5776173285198557],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.4693140794223828],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.5595667870036103],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.5776173285198557],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.6028880866425994],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.6137184115523467],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.6823104693140795],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.7545126353790614],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.5776173285198557],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.5090252707581228],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.45848375451263546],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.5992779783393503],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.6028880866425994],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.5848375451263539],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.5559566787003611],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.5234657039711192],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.4548736462093863],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.5342960288808665],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.5270758122743683],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.5306859205776174],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.5812274368231047],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.5306859205776174],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.4296028880866427],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.4548736462093863],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.42599277978339356],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.5126353790613719],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.4223826714801445],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.476534296028881],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.3898916967509025],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.4368231046931409],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.49097472924187735],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.4476534296028881],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.43321299638989186],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.40072202166064985],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.4548736462093863],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.4223826714801445],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.49819494584837554],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.5090252707581228],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.48375451263537916],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.44404332129963897],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.476534296028881],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.48014440433213],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.48014440433213],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.47292418772563183],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.46570397111913364],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.476534296028881],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.44404332129963897],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.2382671480144405],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.21660649819494593],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.18772563176895318],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.2707581227436824],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.32490974729241884],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.35740072202166073],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.3465703971119134],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.3357400722021662],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.3537906137184117],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.45126353790613727],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.476534296028881],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.3212996389891698],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.31046931407942246],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.3393501805054152],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.3646209386281589],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.2960288808664261],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.3140794223826716],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.332129963898917],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.32490974729241884],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.3357400722021662],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.35740072202166073],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.24187725631768964],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.19494584837545137],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.2635379061371842],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.44404332129963897],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.3718411552346571],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.29241877256317694],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.21299638989169684],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.16245487364620947],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.16967509025270772],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.20577617328519865],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.2707581227436824],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.2346570397111914],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.1985559566787004],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.1155234657039712],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.1155234657039712],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.14079422382671491],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.16967509025270772],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.15884476534296038],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.16967509025270772],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.3357400722021662],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.32490974729241884],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.16967509025270772],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.09747292418772574],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.0902527075812275],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.12996389891696758],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.05415162454873651],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.05776173285198566],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.01805054151624555],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.16245487364620947],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.17689530685920585],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.10108303249097483],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.1191335740072203],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.10469314079422393],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.04693140794223838],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.11191335740072206],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.32490974729241884],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.08303249097472937],[0.0],[0.17855086277081916],[0.006329478105759823]
[8.326672684688674e-17],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.03249097472924195],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.10108303249097483],[0.0],[0.17855086277081916],[0.006329478105759823]
[0.2021660649819495],[0.0],[0.17855086277081916],[0.006329478105759823]
