temperature_array,latitude,longitude,altitude
[0.6859205776173286],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.6317689530685922],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.5776173285198557],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.6425992779783394],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.8086642599277979],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.8411552346570398],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.8158844765342962],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.7617328519855596],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.6967509025270758],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.6859205776173286],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.6895306859205776],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.6967509025270758],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.6931407942238268],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.7184115523465705],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.7761732851985561],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.7689530685920578],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.7797833935018051],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.6714801444043322],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.6931407942238268],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.7472924187725632],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.6967509025270758],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.7400722021660651],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.7942238267148015],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.7545126353790614],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.7364620938628159],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.7220216606498197],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.7761732851985561],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.7833935018050543],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.7689530685920578],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.8014440433212998],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.7653429602888088],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.7906137184115524],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.8375451263537906],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.8050541516245487],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.7689530685920578],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.664259927797834],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.5992779783393503],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.628158844765343],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.6895306859205776],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.6859205776173286],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.5992779783393503],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.552346570397112],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.49097472924187735],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.5451263537906138],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.5631768953068592],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.5992779783393503],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.5884476534296029],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.548736462093863],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.5342960288808665],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.5884476534296029],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.49097472924187735],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.4115523465703972],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.4548736462093863],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.6028880866425994],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.6498194945848377],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.6425992779783394],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.45126353790613727],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.40794223826714804],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.3285198555956679],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.35018050541516255],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.4476534296028881],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.39350180505415167],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.5234657039711192],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.5631768953068592],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.4548736462093863],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.35740072202166073],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.29241877256317694],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.3068592057761733],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.3140794223826716],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.34296028880866436],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.3393501805054152],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.35018050541516255],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.40072202166064985],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.3862815884476536],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.43321299638989186],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.41516245487364634],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.332129963898917],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.3068592057761733],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.3285198555956679],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.35740072202166073],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.31046931407942246],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.332129963898917],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.2960288808664261],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.3537906137184117],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.3610108303249099],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.22743682310469326],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.20938628158844774],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.21660649819494593],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.1985559566787004],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.2346570397111914],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.2888086642599279],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.29241877256317694],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.16245487364620947],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.10469314079422393],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.16967509025270772],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.28519855595667876],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.3393501805054152],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.3646209386281589],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.35740072202166073],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.2707581227436824],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.2635379061371842],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
[0.18772563176895318],[-0.013810590581232175],[-0.17378527034808677],[-0.05638989585131481]
