temperature_array,latitude,longitude,altitude
[0.6245487364620939],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.5451263537906138],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.5703971119133574],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.5812274368231047],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.552346570397112],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.4693140794223828],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.3646209386281589],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.4115523465703972],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.4296028880866427],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.4223826714801445],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.5126353790613719],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.45126353790613727],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.4620938628158845],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.4476534296028881],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.42599277978339356],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.49097472924187735],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.5054151624548737],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.4296028880866427],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.4548736462093863],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.404332129963899],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.40072202166064985],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.3862815884476536],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.3537906137184117],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.3465703971119134],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.36823104693140807],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.5018050541516247],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.4693140794223828],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.5090252707581228],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.5126353790613719],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.476534296028881],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.4693140794223828],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.49097472924187735],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.45848375451263546],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.5054151624548737],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.5054151624548737],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.42599277978339356],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.48375451263537916],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.5270758122743683],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
[0.4476534296028881],[0.5734718495359522],[0.3948491888564691],[0.03953046780597273]
