temperature_array,latitude,longitude,altitude
[0.7653429602888088],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.7292418772563178],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.7364620938628159],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.7256317689530687],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.6570397111913359],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.5631768953068592],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.552346570397112],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.5956678700361012],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.5956678700361012],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.6245487364620939],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.6570397111913359],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.6606498194945849],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.6534296028880867],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.5812274368231047],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.5631768953068592],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.664259927797834],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.6606498194945849],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.7075812274368232],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.7184115523465705],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.7292418772563178],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.6606498194945849],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.6606498194945849],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.6137184115523467],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.5306859205776174],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.5848375451263539],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.6714801444043322],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.700361010830325],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.700361010830325],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.6462093862815885],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.5198555956678701],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.5198555956678701],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.4476534296028881],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.5342960288808665],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.5956678700361012],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.5306859205776174],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.6245487364620939],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.7256317689530687],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.7256317689530687],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.5992779783393503],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.6209386281588448],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.6606498194945849],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.6425992779783394],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.5776173285198557],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.5920577617328521],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.5920577617328521],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.628158844765343],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.6209386281588448],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.5667870036101084],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.6353790613718412],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.5559566787003611],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.548736462093863],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.4945848375451265],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.4476534296028881],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.4296028880866427],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.4620938628158845],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.43321299638989186],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.3285198555956679],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.45126353790613727],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.41516245487364634],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.4187725631768954],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.4476534296028881],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.45126353790613727],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.49097472924187735],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.3610108303249099],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.3465703971119134],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.3140794223826716],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.2527075812274369],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.2527075812274369],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.2888086642599279],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.2707581227436824],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.3068592057761733],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.28519855595667876],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.3465703971119134],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.3718411552346571],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.46570397111913364],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.4548736462093863],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.3212996389891698],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.20938628158844774],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.2310469314079423],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.35740072202166073],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.2599277978339351],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.2382671480144405],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.20938628158844774],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.22743682310469326],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.24548736462093873],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.2779783393501806],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.2779783393501806],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.22021660649819502],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.05054151624548747],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.1191335740072203],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.19133574007220228],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.31046931407942246],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.2635379061371842],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.20938628158844774],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.17328519855595675],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.22021660649819502],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.18772563176895318],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.2346570397111914],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.19494584837545137],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.15884476534296038],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.14801444043321305],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.2707581227436824],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.332129963898917],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.2021660649819495],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.18050541516245494],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.2346570397111914],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.08303249097472937],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.05776173285198566],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[-0.0541516245487364],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[-0.09386281588447645],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[-0.007220216606498103],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[-0.08303249097472917],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[-0.14440433212996379],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[-0.09386281588447645],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.0036101083032492043],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.06137184115523475],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.1263537906137185],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.07942238267148027],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.028880866425992885],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[-0.06859205776173274],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[-0.046931407942238185],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[-0.00361010830324901],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.00722021660649827],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[-0.08664259927797824],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.05415162454873651],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.01805054151624555],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[-0.036101083032490905],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[-0.10469314079422373],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[-0.07581227436823096],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[-0.010830324909747224],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[0.01083032490974739],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[-0.10108303249097465],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[-0.10830324909747283],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[-0.06859205776173274],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
[-0.15162454873646203],[0.07604441052657028],[0.1869303627807328],[0.2773462224523851]
