temperature_array,latitude,longitude,altitude
[-0.17006802721088443],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1657920310981536],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.16423712342079697],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.16890184645286693],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1692905733722061],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.16851311953352777],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.17201166180758026],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1755102040816327],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1735665694849369],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1755102040816327],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.17395529640427607],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1716229348882411],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.17395529640427607],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.17278911564625857],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.17084548104956276],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.16851311953352777],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.16501457725947527],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.159572400388727],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1692905733722061],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.17745383867832853],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1704567541302236],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.16851311953352777],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.17201166180758026],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.17395529640427607],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1747327502429544],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.17434402332361523],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1766763848396502],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.17006802721088443],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.16656948493683194],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1778425655976677],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.18095238095238103],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.16423712342079697],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.17706511175898937],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1844509232264335],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.19183673469387763],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1887269193391643],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1898931000971818],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.19883381924198257],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1965014577259476],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.18950437317784263],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.18600583090379016],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.19300291545189513],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1965014577259476],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1984450923226434],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.19883381924198257],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.20116618075801757],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.20116618075801757],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1996112730806609],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.19689018464528674],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1945578231292518],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1965014577259476],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.19689018464528674],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.19378036929057346],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.19067055393586013],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.19378036929057346],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.20155490767735673],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.19611273080660843],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2062196307094267],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.20660835762876584],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.20038872691933923],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1996112730806609],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2019436345966959],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.20660835762876584],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.1953352769679301],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.20000000000000007],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.20466472303207003],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.21554907677356663],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.21516034985422747],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.21088435374149667],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2182701652089408],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2182701652089408],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.21205053449951416],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.20349854227405256],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.20777453838678334],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.22448979591836743],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.23070942662779403],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.23148688046647237],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.22526724975704573],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2237123420796891],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.23032069970845487],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2182701652089408],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2081632653061225],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.21010689990281833],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.21360544217687083],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.22099125364431493],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.22215743440233243],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.22643343051506323],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2237123420796891],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.21127308066083583],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2279883381924199],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.22915451895043737],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.22215743440233243],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.22060252672497577],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2202137998056366],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.22876579203109823],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2279883381924199],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.22721088435374157],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.23148688046647237],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.23965014577259483],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2388726919339165],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2225461613216716],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2213799805636541],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.23420796890184653],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.23615160349854233],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2408163265306123],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.23809523809523817],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2268221574344024],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.22099125364431493],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2345966958211857],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2528668610301264],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.25792031098153556],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2551992225461614],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.25364431486880473],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2517006802721089],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.24509232264334313],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.237706511175899],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2528668610301264],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.24392614188532563],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.23304178814382903],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.25675413022351806],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2528668610301264],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.23848396501457733],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.25675413022351806],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.24703595724003893],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2474246841593781],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2691933916423713],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.2625850340136055],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.25481049562682223],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.27191448007774544],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.26647230320699716],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.26686103012633633],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.26064139941690967],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
[-0.26686103012633633],[0.15063637035030952],[-0.025595202636921485],[-0.05132631336670695]
