temperature_array,latitude,longitude,altitude
[0.5090252707581228],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.4476534296028881],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.48014440433213],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.5234657039711192],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.49097472924187735],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.3971119133574008],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.38267148014440444],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.5018050541516247],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.548736462093863],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.5559566787003611],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.5812274368231047],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.552346570397112],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.5342960288808665],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.5631768953068592],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.516245487364621],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.5198555956678701],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.6534296028880867],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.6425992779783394],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.5126353790613719],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.44404332129963897],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.49819494584837554],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.5595667870036103],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.5451263537906138],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.5306859205776174],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.5306859205776174],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.5306859205776174],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.4620938628158845],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.4693140794223828],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.46570397111913364],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.48375451263537916],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.44043321299639004],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.476534296028881],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.4873646209386283],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.4945848375451265],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.4873646209386283],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.40072202166064985],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.4620938628158845],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.4693140794223828],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.4223826714801445],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.4187725631768954],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.404332129963899],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.3971119133574008],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.4548736462093863],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.5054151624548737],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.40794223826714804],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.39350180505415167],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.29963898916967524],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.36823104693140807],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.3862815884476536],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.3465703971119134],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.3212996389891698],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.4187725631768954],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.36823104693140807],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.28519855595667876],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.2671480144404333],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.3140794223826716],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.3212996389891698],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.3032490974729243],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.3032490974729243],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.3465703971119134],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.3610108303249099],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.24187725631768964],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.31768953068592065],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.34296028880866436],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.31768953068592065],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.2527075812274369],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.29963898916967524],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.3537906137184117],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.17689530685920585],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.2346570397111914],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.31768953068592065],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.1552346570397113],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.11191335740072206],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.2527075812274369],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.2960288808664261],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.2021660649819495],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.22382671480144417],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.34296028880866436],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.19133574007220228],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.19133574007220228],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.21660649819494593],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.14440433212996395],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.06859205776173294],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.2743682310469315],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.29963898916967524],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.18772563176895318],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.04332129963898923],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[0.24548736462093873],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[-0.09747292418772555],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[-0.11191335740072193],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[-0.1624548736462093],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[-0.1660649819494584],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[-0.13718411552346563],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
[-0.07942238267148005],[0.8617217695280746],[0.31635591032748306],[-0.05797226537775476]
