temperature_array,latitude,longitude,altitude
[0.7833935018050543],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7870036101083032],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.772563176895307],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7761732851985561],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7292418772563178],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7797833935018051],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7942238267148015],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7833935018050543],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7942238267148015],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7870036101083032],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7436823104693141],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7689530685920578],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7797833935018051],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7761732851985561],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7942238267148015],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.8231046931407943],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7906137184115524],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.8158844765342962],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7617328519855596],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7870036101083032],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7761732851985561],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7797833935018051],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.8086642599277979],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7833935018050543],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7978339350180507],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7689530685920578],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7436823104693141],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7833935018050543],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.8014440433212998],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7833935018050543],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7653429602888088],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7797833935018051],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7220216606498197],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7292418772563178],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7400722021660651],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7617328519855596],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7870036101083032],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7797833935018051],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7472924187725632],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7220216606498197],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7220216606498197],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7039711191335741],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7220216606498197],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7400722021660651],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7509025270758123],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7364620938628159],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7472924187725632],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7689530685920578],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7328519855595668],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7184115523465705],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.6498194945848377],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.6570397111913359],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.6317689530685922],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.6714801444043322],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.6787003610108303],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.6498194945848377],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.6137184115523467],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.6570397111913359],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7075812274368232],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7039711191335741],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7111913357400723],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.664259927797834],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.6137184115523467],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.6570397111913359],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.6859205776173286],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7256317689530687],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.7075812274368232],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.6895306859205776],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.6245487364620939],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.5631768953068592],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.5631768953068592],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.6353790613718412],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.6570397111913359],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.6209386281588448],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.6028880866425994],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.5956678700361012],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.5631768953068592],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.5379061371841156],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.516245487364621],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.5126353790613719],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.5090252707581228],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.48375451263537916],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.5054151624548737],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.5631768953068592],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.5090252707581228],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.47292418772563183],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.46570397111913364],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.42599277978339356],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.4368231046931409],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.4476534296028881],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.49097472924187735],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.48014440433213],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.46570397111913364],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.5234657039711192],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.49819494584837554],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.5054151624548737],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.4476534296028881],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.47292418772563183],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.5198555956678701],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.5595667870036103],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.5595667870036103],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.31768953068592065],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.31046931407942246],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.3357400722021662],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.36823104693140807],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.43321299638989186],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
[0.44043321299639004],[-0.4704709386770383],[-0.4713766605110837],[0.037401461534035334]
