temperature_array,latitude,longitude,altitude
[0.8050541516245487],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.7870036101083032],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.812274368231047],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.8411552346570398],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.7364620938628159],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.6895306859205776],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.7870036101083032],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.8050541516245487],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.7906137184115524],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.7617328519855596],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.7978339350180507],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.8267148014440434],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.8628158844765345],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.8339350180505415],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.7797833935018051],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.7400722021660651],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.7039711191335741],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.6678700361010832],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.6823104693140795],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.7075812274368232],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.6967509025270758],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.772563176895307],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.7581227436823106],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.6534296028880867],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.6064981949458484],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5920577617328521],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5920577617328521],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.6064981949458484],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.6570397111913359],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.6570397111913359],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.6606498194945849],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.628158844765343],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.6498194945848377],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5631768953068592],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5703971119133574],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5848375451263539],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.6028880866425994],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5956678700361012],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5920577617328521],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5198555956678701],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5920577617328521],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.552346570397112],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.6137184115523467],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5126353790613719],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5667870036101084],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5595667870036103],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.6173285198555957],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.6353790613718412],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.6064981949458484],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5812274368231047],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5595667870036103],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5776173285198557],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5667870036101084],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.4693140794223828],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.476534296028881],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.552346570397112],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5451263537906138],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.4945848375451265],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.42599277978339356],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5054151624548737],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.4873646209386283],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5342960288808665],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5415162454873648],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.41516245487364634],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.3862815884476536],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.4187725631768954],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.5270758122743683],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.43321299638989186],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.3898916967509025],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.37545126353790625],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.35018050541516255],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.37545126353790625],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.4476534296028881],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
[0.41516245487364634],[-0.022771472883488835],[-0.27983955838843283],[-0.04747108579319869]
