temperature_array,latitude,longitude,altitude
[-0.16190476190476197],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.15801749271137033],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16501457725947527],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16540330417881446],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16345966958211863],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16229348882410116],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.1692905733722061],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.1704567541302236],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.1681243926141886],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16540330417881446],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16540330417881446],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16618075801749277],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16540330417881446],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16462585034013613],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16540330417881446],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.1657920310981536],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16618075801749277],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16734693877551027],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16734693877551027],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.17278911564625857],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16967930029154527],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16462585034013613],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16540330417881446],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16501457725947527],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.1657920310981536],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16345966958211863],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.1638483965014578],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.1657920310981536],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16540330417881446],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16540330417881446],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16501457725947527],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.17084548104956276],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.1681243926141886],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16618075801749277],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.1681243926141886],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16618075801749277],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16656948493683194],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16851311953352777],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16773566569484943],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.1669582118561711],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16618075801749277],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16462585034013613],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.16773566569484943],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.17745383867832853],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.1735665694849369],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
[-0.17201166180758026],[-0.9948056424017142],[-1.0181291078413781],[0.020139248518326717]
