bloom_day_countdown,first_bloom_day_countdown
236,222
235,221
234,220
233,219
232,218
231,217
230,216
229,215
228,214
227,213
226,212
225,211
224,210
223,209
222,208
221,207
220,206
219,205
218,204
217,203
216,202
215,201
214,200
213,199
212,198
211,197
210,196
209,195
208,194
207,193
206,192
205,191
204,190
203,189
202,188
201,187
200,186
199,185
198,184
197,183
196,182
195,181
194,180
193,179
192,178
191,177
190,176
189,175
188,174
187,173
186,172
185,171
184,170
183,169
182,168
181,167
180,166
179,165
178,164
177,163
176,162
175,161
174,160
173,159
172,158
171,157
170,156
169,155
168,154
167,153
166,152
165,151
164,150
163,149
162,148
161,147
160,146
159,145
158,144
157,143
156,142
155,141
154,140
153,139
152,138
151,137
150,136
149,135
148,134
147,133
146,132
145,131
144,130
143,129
142,128
141,127
140,126
139,125
138,124
137,123
136,122
135,121
134,120
133,119
132,118
131,117
130,116
129,115
128,114
127,113
126,112
125,111
124,110
123,109
122,108
121,107
120,106
119,105
118,104
117,103
116,102
115,101
114,100
113,99
112,98
111,97
110,96
109,95
108,94
107,93
106,92
105,91
104,90
103,89
102,88
101,87
100,86
99,85
98,84
97,83
96,82
95,81
94,80
93,79
92,78
91,77
90,76
89,75
88,74
87,73
86,72
85,71
84,70
83,69
82,68
81,67
80,66
79,65
78,64
77,63
76,62
75,61
74,60
73,59
72,58
71,57
70,56
69,55
68,54
67,53
66,52
65,51
64,50
63,49
62,48
61,47
60,46
59,45
58,44
57,43
56,42
55,41
54,40
53,39
52,38
51,37
50,36
49,35
48,34
47,33
46,32
45,31
44,30
43,29
42,28
41,27
40,26
39,25
38,24
37,23
36,22
35,21
34,20
33,19
32,18
31,17
30,16
29,15
28,14
27,13
26,12
25,11
24,10
23,9
22,8
21,7
20,6
19,5
18,4
17,3
16,2
15,1
14,0
13,-1
12,-2
11,-3
10,-4
9,-5
8,-6
7,-7
6,-8
5,-9
4,-10
3,-11
2,-12
1,-13
0,-14
