bloom_day_countdown,first_bloom_day_countdown
241,235
240,234
239,233
238,232
237,231
236,230
235,229
234,228
233,227
232,226
231,225
230,224
229,223
228,222
227,221
226,220
225,219
224,218
223,217
222,216
221,215
220,214
219,213
218,212
217,211
216,210
215,209
214,208
213,207
212,206
211,205
210,204
209,203
208,202
207,201
206,200
205,199
204,198
203,197
202,196
201,195
200,194
199,193
198,192
197,191
196,190
195,189
194,188
193,187
192,186
191,185
190,184
189,183
188,182
187,181
186,180
185,179
184,178
183,177
182,176
181,175
180,174
179,173
178,172
177,171
176,170
175,169
174,168
173,167
172,166
171,165
170,164
169,163
168,162
167,161
166,160
165,159
164,158
163,157
162,156
161,155
160,154
159,153
158,152
157,151
156,150
155,149
154,148
153,147
152,146
151,145
150,144
149,143
148,142
147,141
146,140
145,139
144,138
143,137
142,136
141,135
140,134
139,133
138,132
137,131
136,130
135,129
134,128
133,127
132,126
131,125
130,124
129,123
128,122
127,121
126,120
125,119
124,118
123,117
122,116
121,115
120,114
119,113
118,112
117,111
116,110
115,109
114,108
113,107
112,106
111,105
110,104
109,103
108,102
107,101
106,100
105,99
104,98
103,97
102,96
101,95
100,94
99,93
98,92
97,91
96,90
95,89
94,88
93,87
92,86
91,85
90,84
89,83
88,82
87,81
86,80
85,79
84,78
83,77
82,76
81,75
80,74
79,73
78,72
77,71
76,70
75,69
74,68
73,67
72,66
71,65
70,64
69,63
68,62
67,61
66,60
65,59
64,58
63,57
62,56
61,55
60,54
59,53
58,52
57,51
56,50
55,49
54,48
53,47
52,46
51,45
50,44
49,43
48,42
47,41
46,40
45,39
44,38
43,37
42,36
41,35
40,34
39,33
38,32
37,31
36,30
35,29
34,28
33,27
32,26
31,25
30,24
29,23
28,22
27,21
26,20
25,19
24,18
23,17
22,16
21,15
20,14
19,13
18,12
17,11
16,10
15,9
14,8
13,7
12,6
11,5
10,4
9,3
8,2
7,1
6,0
5,-1
4,-2
3,-3
2,-4
1,-5
0,-6
