bloom_day_countdown,first_bloom_day_countdown
240,229
239,228
238,227
237,226
236,225
235,224
234,223
233,222
232,221
231,220
230,219
229,218
228,217
227,216
226,215
225,214
224,213
223,212
222,211
221,210
220,209
219,208
218,207
217,206
216,205
215,204
214,203
213,202
212,201
211,200
210,199
209,198
208,197
207,196
206,195
205,194
204,193
203,192
202,191
201,190
200,189
199,188
198,187
197,186
196,185
195,184
194,183
193,182
192,181
191,180
190,179
189,178
188,177
187,176
186,175
185,174
184,173
183,172
182,171
181,170
180,169
179,168
178,167
177,166
176,165
175,164
174,163
173,162
172,161
171,160
170,159
169,158
168,157
167,156
166,155
165,154
164,153
163,152
162,151
161,150
160,149
159,148
158,147
157,146
156,145
155,144
154,143
153,142
152,141
151,140
150,139
149,138
148,137
147,136
146,135
145,134
144,133
143,132
142,131
141,130
140,129
139,128
138,127
137,126
136,125
135,124
134,123
133,122
132,121
131,120
130,119
129,118
128,117
127,116
126,115
125,114
124,113
123,112
122,111
121,110
120,109
119,108
118,107
117,106
116,105
115,104
114,103
113,102
112,101
111,100
110,99
109,98
108,97
107,96
106,95
105,94
104,93
103,92
102,91
101,90
100,89
99,88
98,87
97,86
96,85
95,84
94,83
93,82
92,81
91,80
90,79
89,78
88,77
87,76
86,75
85,74
84,73
83,72
82,71
81,70
80,69
79,68
78,67
77,66
76,65
75,64
74,63
73,62
72,61
71,60
70,59
69,58
68,57
67,56
66,55
65,54
64,53
63,52
62,51
61,50
60,49
59,48
58,47
57,46
56,45
55,44
54,43
53,42
52,41
51,40
50,39
49,38
48,37
47,36
46,35
45,34
44,33
43,32
42,31
41,30
40,29
39,28
38,27
37,26
36,25
35,24
34,23
33,22
32,21
31,20
30,19
29,18
28,17
27,16
26,15
25,14
24,13
23,12
22,11
21,10
20,9
19,8
18,7
17,6
16,5
15,4
14,3
13,2
12,1
11,0
10,-1
9,-2
8,-3
7,-4
6,-5
5,-6
4,-7
3,-8
2,-9
1,-10
0,-11
