bloom_day_countdown,first_bloom_day_countdown
241,231
240,230
239,229
238,228
237,227
236,226
235,225
234,224
233,223
232,222
231,221
230,220
229,219
228,218
227,217
226,216
225,215
224,214
223,213
222,212
221,211
220,210
219,209
218,208
217,207
216,206
215,205
214,204
213,203
212,202
211,201
210,200
209,199
208,198
207,197
206,196
205,195
204,194
203,193
202,192
201,191
200,190
199,189
198,188
197,187
196,186
195,185
194,184
193,183
192,182
191,181
190,180
189,179
188,178
187,177
186,176
185,175
184,174
183,173
182,172
181,171
180,170
179,169
178,168
177,167
176,166
175,165
174,164
173,163
172,162
171,161
170,160
169,159
168,158
167,157
166,156
165,155
164,154
163,153
162,152
161,151
160,150
159,149
158,148
157,147
156,146
155,145
154,144
153,143
152,142
151,141
150,140
149,139
148,138
147,137
146,136
145,135
144,134
143,133
142,132
141,131
140,130
139,129
138,128
137,127
136,126
135,125
134,124
133,123
132,122
131,121
130,120
129,119
128,118
127,117
126,116
125,115
124,114
123,113
122,112
121,111
120,110
119,109
118,108
117,107
116,106
115,105
114,104
113,103
112,102
111,101
110,100
109,99
108,98
107,97
106,96
105,95
104,94
103,93
102,92
101,91
100,90
99,89
98,88
97,87
96,86
95,85
94,84
93,83
92,82
91,81
90,80
89,79
88,78
87,77
86,76
85,75
84,74
83,73
82,72
81,71
80,70
79,69
78,68
77,67
76,66
75,65
74,64
73,63
72,62
71,61
70,60
69,59
68,58
67,57
66,56
65,55
64,54
63,53
62,52
61,51
60,50
59,49
58,48
57,47
56,46
55,45
54,44
53,43
52,42
51,41
50,40
49,39
48,38
47,37
46,36
45,35
44,34
43,33
42,32
41,31
40,30
39,29
38,28
37,27
36,26
35,25
34,24
33,23
32,22
31,21
30,20
29,19
28,18
27,17
26,16
25,15
24,14
23,13
22,12
21,11
20,10
19,9
18,8
17,7
16,6
15,5
14,4
13,3
12,2
11,1
10,0
9,-1
8,-2
7,-3
6,-4
5,-5
4,-6
3,-7
2,-8
1,-9
0,-10
