bloom_day_countdown,first_bloom_day_countdown
240,227
239,226
238,225
237,224
236,223
235,222
234,221
233,220
232,219
231,218
230,217
229,216
228,215
227,214
226,213
225,212
224,211
223,210
222,209
221,208
220,207
219,206
218,205
217,204
216,203
215,202
214,201
213,200
212,199
211,198
210,197
209,196
208,195
207,194
206,193
205,192
204,191
203,190
202,189
201,188
200,187
199,186
198,185
197,184
196,183
195,182
194,181
193,180
192,179
191,178
190,177
189,176
188,175
187,174
186,173
185,172
184,171
183,170
182,169
181,168
180,167
179,166
178,165
177,164
176,163
175,162
174,161
173,160
172,159
171,158
170,157
169,156
168,155
167,154
166,153
165,152
164,151
163,150
162,149
161,148
160,147
159,146
158,145
157,144
156,143
155,142
154,141
153,140
152,139
151,138
150,137
149,136
148,135
147,134
146,133
145,132
144,131
143,130
142,129
141,128
140,127
139,126
138,125
137,124
136,123
135,122
134,121
133,120
132,119
131,118
130,117
129,116
128,115
127,114
126,113
125,112
124,111
123,110
122,109
121,108
120,107
119,106
118,105
117,104
116,103
115,102
114,101
113,100
112,99
111,98
110,97
109,96
108,95
107,94
106,93
105,92
104,91
103,90
102,89
101,88
100,87
99,86
98,85
97,84
96,83
95,82
94,81
93,80
92,79
91,78
90,77
89,76
88,75
87,74
86,73
85,72
84,71
83,70
82,69
81,68
80,67
79,66
78,65
77,64
76,63
75,62
74,61
73,60
72,59
71,58
70,57
69,56
68,55
67,54
66,53
65,52
64,51
63,50
62,49
61,48
60,47
59,46
58,45
57,44
56,43
55,42
54,41
53,40
52,39
51,38
50,37
49,36
48,35
47,34
46,33
45,32
44,31
43,30
42,29
41,28
40,27
39,26
38,25
37,24
36,23
35,22
34,21
33,20
32,19
31,18
30,17
29,16
28,15
27,14
26,13
25,12
24,11
23,10
22,9
21,8
20,7
19,6
18,5
17,4
16,3
15,2
14,1
13,0
12,-1
11,-2
10,-3
9,-4
8,-5
7,-6
6,-7
5,-8
4,-9
3,-10
2,-11
1,-12
0,-13
