bloom_day_countdown,first_bloom_day_countdown
255,251
254,250
253,249
252,248
251,247
250,246
249,245
248,244
247,243
246,242
245,241
244,240
243,239
242,238
241,237
240,236
239,235
238,234
237,233
236,232
235,231
234,230
233,229
232,228
231,227
230,226
229,225
228,224
227,223
226,222
225,221
224,220
223,219
222,218
221,217
220,216
219,215
218,214
217,213
216,212
215,211
214,210
213,209
212,208
211,207
210,206
209,205
208,204
207,203
206,202
205,201
204,200
203,199
202,198
201,197
200,196
199,195
198,194
197,193
196,192
195,191
194,190
193,189
192,188
191,187
190,186
189,185
188,184
187,183
186,182
185,181
184,180
183,179
182,178
181,177
180,176
179,175
178,174
177,173
176,172
175,171
174,170
173,169
172,168
171,167
170,166
169,165
168,164
167,163
166,162
165,161
164,160
163,159
162,158
161,157
160,156
159,155
158,154
157,153
156,152
155,151
154,150
153,149
152,148
151,147
150,146
149,145
148,144
147,143
146,142
145,141
144,140
143,139
142,138
141,137
140,136
139,135
138,134
137,133
136,132
135,131
134,130
133,129
132,128
131,127
130,126
129,125
128,124
127,123
126,122
125,121
124,120
123,119
122,118
121,117
120,116
119,115
118,114
117,113
116,112
115,111
114,110
113,109
112,108
111,107
110,106
109,105
108,104
107,103
106,102
105,101
104,100
103,99
102,98
101,97
100,96
99,95
98,94
97,93
96,92
95,91
94,90
93,89
92,88
91,87
90,86
89,85
88,84
87,83
86,82
85,81
84,80
83,79
82,78
81,77
80,76
79,75
78,74
77,73
76,72
75,71
74,70
73,69
72,68
71,67
70,66
69,65
68,64
67,63
66,62
65,61
64,60
63,59
62,58
61,57
60,56
59,55
58,54
57,53
56,52
55,51
54,50
53,49
52,48
51,47
50,46
49,45
48,44
47,43
46,42
45,41
44,40
43,39
42,38
41,37
40,36
39,35
38,34
37,33
36,32
35,31
34,30
33,29
32,28
31,27
30,26
29,25
28,24
27,23
26,22
25,21
24,20
23,19
22,18
21,17
20,16
19,15
18,14
17,13
16,12
15,11
14,10
13,9
12,8
11,7
10,6
9,5
8,4
7,3
6,2
5,1
4,0
3,-1
2,-2
1,-3
0,-4
