bloom_day_countdown,first_bloom_day_countdown
241,232
240,231
239,230
238,229
237,228
236,227
235,226
234,225
233,224
232,223
231,222
230,221
229,220
228,219
227,218
226,217
225,216
224,215
223,214
222,213
221,212
220,211
219,210
218,209
217,208
216,207
215,206
214,205
213,204
212,203
211,202
210,201
209,200
208,199
207,198
206,197
205,196
204,195
203,194
202,193
201,192
200,191
199,190
198,189
197,188
196,187
195,186
194,185
193,184
192,183
191,182
190,181
189,180
188,179
187,178
186,177
185,176
184,175
183,174
182,173
181,172
180,171
179,170
178,169
177,168
176,167
175,166
174,165
173,164
172,163
171,162
170,161
169,160
168,159
167,158
166,157
165,156
164,155
163,154
162,153
161,152
160,151
159,150
158,149
157,148
156,147
155,146
154,145
153,144
152,143
151,142
150,141
149,140
148,139
147,138
146,137
145,136
144,135
143,134
142,133
141,132
140,131
139,130
138,129
137,128
136,127
135,126
134,125
133,124
132,123
131,122
130,121
129,120
128,119
127,118
126,117
125,116
124,115
123,114
122,113
121,112
120,111
119,110
118,109
117,108
116,107
115,106
114,105
113,104
112,103
111,102
110,101
109,100
108,99
107,98
106,97
105,96
104,95
103,94
102,93
101,92
100,91
99,90
98,89
97,88
96,87
95,86
94,85
93,84
92,83
91,82
90,81
89,80
88,79
87,78
86,77
85,76
84,75
83,74
82,73
81,72
80,71
79,70
78,69
77,68
76,67
75,66
74,65
73,64
72,63
71,62
70,61
69,60
68,59
67,58
66,57
65,56
64,55
63,54
62,53
61,52
60,51
59,50
58,49
57,48
56,47
55,46
54,45
53,44
52,43
51,42
50,41
49,40
48,39
47,38
46,37
45,36
44,35
43,34
42,33
41,32
40,31
39,30
38,29
37,28
36,27
35,26
34,25
33,24
32,23
31,22
30,21
29,20
28,19
27,18
26,17
25,16
24,15
23,14
22,13
21,12
20,11
19,10
18,9
17,8
16,7
15,6
14,5
13,4
12,3
11,2
10,1
9,0
8,-1
7,-2
6,-3
5,-4
4,-5
3,-6
2,-7
1,-8
0,-9
