bloom_day_countdown,first_bloom_day_countdown
241,229
240,228
239,227
238,226
237,225
236,224
235,223
234,222
233,221
232,220
231,219
230,218
229,217
228,216
227,215
226,214
225,213
224,212
223,211
222,210
221,209
220,208
219,207
218,206
217,205
216,204
215,203
214,202
213,201
212,200
211,199
210,198
209,197
208,196
207,195
206,194
205,193
204,192
203,191
202,190
201,189
200,188
199,187
198,186
197,185
196,184
195,183
194,182
193,181
192,180
191,179
190,178
189,177
188,176
187,175
186,174
185,173
184,172
183,171
182,170
181,169
180,168
179,167
178,166
177,165
176,164
175,163
174,162
173,161
172,160
171,159
170,158
169,157
168,156
167,155
166,154
165,153
164,152
163,151
162,150
161,149
160,148
159,147
158,146
157,145
156,144
155,143
154,142
153,141
152,140
151,139
150,138
149,137
148,136
147,135
146,134
145,133
144,132
143,131
142,130
141,129
140,128
139,127
138,126
137,125
136,124
135,123
134,122
133,121
132,120
131,119
130,118
129,117
128,116
127,115
126,114
125,113
124,112
123,111
122,110
121,109
120,108
119,107
118,106
117,105
116,104
115,103
114,102
113,101
112,100
111,99
110,98
109,97
108,96
107,95
106,94
105,93
104,92
103,91
102,90
101,89
100,88
99,87
98,86
97,85
96,84
95,83
94,82
93,81
92,80
91,79
90,78
89,77
88,76
87,75
86,74
85,73
84,72
83,71
82,70
81,69
80,68
79,67
78,66
77,65
76,64
75,63
74,62
73,61
72,60
71,59
70,58
69,57
68,56
67,55
66,54
65,53
64,52
63,51
62,50
61,49
60,48
59,47
58,46
57,45
56,44
55,43
54,42
53,41
52,40
51,39
50,38
49,37
48,36
47,35
46,34
45,33
44,32
43,31
42,30
41,29
40,28
39,27
38,26
37,25
36,24
35,23
34,22
33,21
32,20
31,19
30,18
29,17
28,16
27,15
26,14
25,13
24,12
23,11
22,10
21,9
20,8
19,7
18,6
17,5
16,4
15,3
14,2
13,1
12,0
11,-1
10,-2
9,-3
8,-4
7,-5
6,-6
5,-7
4,-8
3,-9
2,-10
1,-11
0,-12
