bloom_day_countdown,first_bloom_day_countdown
242,239
241,238
240,237
239,236
238,235
237,234
236,233
235,232
234,231
233,230
232,229
231,228
230,227
229,226
228,225
227,224
226,223
225,222
224,221
223,220
222,219
221,218
220,217
219,216
218,215
217,214
216,213
215,212
214,211
213,210
212,209
211,208
210,207
209,206
208,205
207,204
206,203
205,202
204,201
203,200
202,199
201,198
200,197
199,196
198,195
197,194
196,193
195,192
194,191
193,190
192,189
191,188
190,187
189,186
188,185
187,184
186,183
185,182
184,181
183,180
182,179
181,178
180,177
179,176
178,175
177,174
176,173
175,172
174,171
173,170
172,169
171,168
170,167
169,166
168,165
167,164
166,163
165,162
164,161
163,160
162,159
161,158
160,157
159,156
158,155
157,154
156,153
155,152
154,151
153,150
152,149
151,148
150,147
149,146
148,145
147,144
146,143
145,142
144,141
143,140
142,139
141,138
140,137
139,136
138,135
137,134
136,133
135,132
134,131
133,130
132,129
131,128
130,127
129,126
128,125
127,124
126,123
125,122
124,121
123,120
122,119
121,118
120,117
119,116
118,115
117,114
116,113
115,112
114,111
113,110
112,109
111,108
110,107
109,106
108,105
107,104
106,103
105,102
104,101
103,100
102,99
101,98
100,97
99,96
98,95
97,94
96,93
95,92
94,91
93,90
92,89
91,88
90,87
89,86
88,85
87,84
86,83
85,82
84,81
83,80
82,79
81,78
80,77
79,76
78,75
77,74
76,73
75,72
74,71
73,70
72,69
71,68
70,67
69,66
68,65
67,64
66,63
65,62
64,61
63,60
62,59
61,58
60,57
59,56
58,55
57,54
56,53
55,52
54,51
53,50
52,49
51,48
50,47
49,46
48,45
47,44
46,43
45,42
44,41
43,40
42,39
41,38
40,37
39,36
38,35
37,34
36,33
35,32
34,31
33,30
32,29
31,28
30,27
29,26
28,25
27,24
26,23
25,22
24,21
23,20
22,19
21,18
20,17
19,16
18,15
17,14
16,13
15,12
14,11
13,10
12,9
11,8
10,7
9,6
8,5
7,4
6,3
5,2
4,1
3,0
2,-1
1,-2
0,-3
