bloom_day_countdown,first_bloom_day_countdown
239,231
238,230
237,229
236,228
235,227
234,226
233,225
232,224
231,223
230,222
229,221
228,220
227,219
226,218
225,217
224,216
223,215
222,214
221,213
220,212
219,211
218,210
217,209
216,208
215,207
214,206
213,205
212,204
211,203
210,202
209,201
208,200
207,199
206,198
205,197
204,196
203,195
202,194
201,193
200,192
199,191
198,190
197,189
196,188
195,187
194,186
193,185
192,184
191,183
190,182
189,181
188,180
187,179
186,178
185,177
184,176
183,175
182,174
181,173
180,172
179,171
178,170
177,169
176,168
175,167
174,166
173,165
172,164
171,163
170,162
169,161
168,160
167,159
166,158
165,157
164,156
163,155
162,154
161,153
160,152
159,151
158,150
157,149
156,148
155,147
154,146
153,145
152,144
151,143
150,142
149,141
148,140
147,139
146,138
145,137
144,136
143,135
142,134
141,133
140,132
139,131
138,130
137,129
136,128
135,127
134,126
133,125
132,124
131,123
130,122
129,121
128,120
127,119
126,118
125,117
124,116
123,115
122,114
121,113
120,112
119,111
118,110
117,109
116,108
115,107
114,106
113,105
112,104
111,103
110,102
109,101
108,100
107,99
106,98
105,97
104,96
103,95
102,94
101,93
100,92
99,91
98,90
97,89
96,88
95,87
94,86
93,85
92,84
91,83
90,82
89,81
88,80
87,79
86,78
85,77
84,76
83,75
82,74
81,73
80,72
79,71
78,70
77,69
76,68
75,67
74,66
73,65
72,64
71,63
70,62
69,61
68,60
67,59
66,58
65,57
64,56
63,55
62,54
61,53
60,52
59,51
58,50
57,49
56,48
55,47
54,46
53,45
52,44
51,43
50,42
49,41
48,40
47,39
46,38
45,37
44,36
43,35
42,34
41,33
40,32
39,31
38,30
37,29
36,28
35,27
34,26
33,25
32,24
31,23
30,22
29,21
28,20
27,19
26,18
25,17
24,16
23,15
22,14
21,13
20,12
19,11
18,10
17,9
16,8
15,7
14,6
13,5
12,4
11,3
10,2
9,1
8,0
7,-1
6,-2
5,-3
4,-4
3,-5
2,-6
1,-7
0,-8
