bloom_day_countdown,first_bloom_day_countdown
[0.6346153846153846],[0.6453488372093024]
[0.6282051282051282],[0.6395348837209303]
[0.6217948717948718],[0.6337209302325582]
[0.6153846153846154],[0.627906976744186]
[0.6089743589743588],[0.622093023255814]
[0.6025641025641024],[0.6162790697674418]
[0.596153846153846],[0.6104651162790697]
[0.5897435897435896],[0.6046511627906976]
[0.5833333333333333],[0.5988372093023255]
[0.5769230769230769],[0.5930232558139534]
[0.5705128205128205],[0.5872093023255813]
[0.5641025641025641],[0.5813953488372092]
[0.5576923076923077],[0.5755813953488371]
[0.5512820512820513],[0.569767441860465]
[0.5448717948717947],[0.5639534883720929]
[0.5384615384615383],[0.5581395348837208]
[0.5320512820512819],[0.5523255813953487]
[0.5256410256410255],[0.5465116279069766]
[0.5192307692307692],[0.5406976744186047]
[0.5128205128205128],[0.5348837209302326]
[0.5064102564102564],[0.5290697674418605]
[0.5],[0.5232558139534884]
[0.4935897435897436],[0.5174418604651163]
[0.4871794871794872],[0.5116279069767442]
[0.4807692307692306],[0.5058139534883721]
[0.47435897435897423],[0.5]
[0.46794871794871784],[0.4941860465116279]
[0.46153846153846145],[0.4883720930232558]
[0.45512820512820507],[0.4825581395348837]
[0.4487179487179487],[0.4767441860465116]
[0.4423076923076923],[0.4709302325581395]
[0.4358974358974359],[0.4651162790697674]
[0.4294871794871795],[0.4593023255813953]
[0.42307692307692313],[0.4534883720930232]
[0.4166666666666665],[0.44767441860465107]
[0.41025641025641013],[0.44186046511627897]
[0.40384615384615374],[0.43604651162790686]
[0.39743589743589736],[0.43023255813953476]
[0.39102564102564097],[0.42441860465116266]
[0.3846153846153846],[0.41860465116279055]
[0.3782051282051282],[0.41279069767441867]
[0.3717948717948718],[0.40697674418604657]
[0.3653846153846154],[0.40116279069767447]
[0.35897435897435903],[0.39534883720930236]
[0.3525641025641024],[0.38953488372093026]
[0.34615384615384603],[0.38372093023255816]
[0.33974358974358965],[0.37790697674418605]
[0.33333333333333326],[0.37209302325581395]
[0.32692307692307687],[0.36627906976744184]
[0.3205128205128205],[0.36046511627906974]
[0.3141025641025641],[0.35465116279069764]
[0.3076923076923077],[0.34883720930232553]
[0.3012820512820513],[0.34302325581395343]
[0.29487179487179493],[0.33720930232558133]
[0.2884615384615383],[0.3313953488372092]
[0.28205128205128194],[0.3255813953488371]
[0.27564102564102555],[0.319767441860465]
[0.26923076923076916],[0.3139534883720929]
[0.2628205128205128],[0.3081395348837208]
[0.2564102564102564],[0.3023255813953487]
[0.25],[0.2965116279069766]
[0.2435897435897436],[0.2906976744186047]
[0.23717948717948723],[0.2848837209302326]
[0.23076923076923084],[0.2790697674418605]
[0.22435897435897423],[0.2732558139534884]
[0.21794871794871784],[0.2674418604651163]
[0.21153846153846145],[0.2616279069767442]
[0.20512820512820507],[0.2558139534883721]
[0.19871794871794868],[0.25]
[0.1923076923076923],[0.2441860465116279]
[0.1858974358974359],[0.2383720930232558]
[0.17948717948717952],[0.2325581395348837]
[0.17307692307692313],[0.2267441860465116]
[0.16666666666666652],[0.22093023255813948]
[0.16025641025641013],[0.21511627906976738]
[0.15384615384615374],[0.20930232558139528]
[0.14743589743589736],[0.20348837209302317]
[0.14102564102564097],[0.19767441860465118]
[0.13461538461538458],[0.19186046511627908]
[0.1282051282051282],[0.18604651162790697]
[0.1217948717948718],[0.18023255813953487]
[0.11538461538461542],[0.17441860465116277]
[0.10897435897435903],[0.16860465116279066]
[0.10256410256410242],[0.16279069767441856]
[0.09615384615384603],[0.15697674418604646]
[0.08974358974358965],[0.15116279069767435]
[0.08333333333333326],[0.14534883720930225]
[0.07692307692307687],[0.13953488372093015]
[0.07051282051282048],[0.13372093023255816]
[0.0641025641025641],[0.12790697674418605]
[0.05769230769230771],[0.12209302325581395]
[0.05128205128205132],[0.11627906976744184]
