bloom_day_countdown,first_bloom_day_countdown
243,236
242,235
241,234
240,233
239,232
238,231
237,230
236,229
235,228
234,227
233,226
232,225
231,224
230,223
229,222
228,221
227,220
226,219
225,218
224,217
223,216
222,215
221,214
220,213
219,212
218,211
217,210
216,209
215,208
214,207
213,206
212,205
211,204
210,203
209,202
208,201
207,200
206,199
205,198
204,197
203,196
202,195
201,194
200,193
199,192
198,191
197,190
196,189
195,188
194,187
193,186
192,185
191,184
190,183
189,182
188,181
187,180
186,179
185,178
184,177
183,176
182,175
181,174
180,173
179,172
178,171
177,170
176,169
175,168
174,167
173,166
172,165
171,164
170,163
169,162
168,161
167,160
166,159
165,158
164,157
163,156
162,155
161,154
160,153
159,152
158,151
157,150
156,149
155,148
154,147
153,146
152,145
151,144
150,143
149,142
148,141
147,140
146,139
145,138
144,137
143,136
142,135
141,134
140,133
139,132
138,131
137,130
136,129
135,128
134,127
133,126
132,125
131,124
130,123
129,122
128,121
127,120
126,119
125,118
124,117
123,116
122,115
121,114
120,113
119,112
118,111
117,110
116,109
115,108
114,107
113,106
112,105
111,104
110,103
109,102
108,101
107,100
106,99
105,98
104,97
103,96
102,95
101,94
100,93
99,92
98,91
97,90
96,89
95,88
94,87
93,86
92,85
91,84
90,83
89,82
88,81
87,80
86,79
85,78
84,77
83,76
82,75
81,74
80,73
79,72
78,71
77,70
76,69
75,68
74,67
73,66
72,65
71,64
70,63
69,62
68,61
67,60
66,59
65,58
64,57
63,56
62,55
61,54
60,53
59,52
58,51
57,50
56,49
55,48
54,47
53,46
52,45
51,44
50,43
49,42
48,41
47,40
46,39
45,38
44,37
43,36
42,35
41,34
40,33
39,32
38,31
37,30
36,29
35,28
34,27
33,26
32,25
31,24
30,23
29,22
28,21
27,20
26,19
25,18
24,17
23,16
22,15
21,14
20,13
19,12
18,11
17,10
16,9
15,8
14,7
13,6
12,5
11,4
10,3
9,2
8,1
7,0
6,-1
5,-2
4,-3
3,-4
2,-5
1,-6
0,-7
